CAR_ID,SYMBOLING,carname,FUELTYPE-,ASPIRATION+,DOORNUMBER+,CARBODY,DRIVEWHEEL+,ENGINELOCATION,WHEELBASE,CARLENGTH,CARWIDTH,CARHEIGHT,CURBWEIGHT,ENGINETYPE,CYLINDERNUMBER,ENGINESIZE,FUELSYSTEM,BORERATIO,STROKE,COMPRESSIONRATIO,HORSEPOWER,PEAKRPM,CITYMPG,HIGHWAYMPG,PRICE+,BRAND,MODEL,POWER_TO_WEIGHT_RATIO,WHEELBASE_SQUARED,CARLENGTH_SQUARED,CARWIDTH_SQUARED,CARHEIGHT_SQUARED,CURBWEIGHT_SQUARED,ENGINESIZE_SQUARED,BORERATIO_SQUARED,STROKE_SQUARED,COMPRESSIONRATIO_SQUARED,HORSEPOWER_SQUARED,PEAKRPM_SQUARED,CITYMPG_SQUARED,HIGHWAYMPG_SQUARED,LOG_ENGINESIZE
1,3,alfa-romero giulia,1,0,1,0,2,0,-1.690771802,-0.426521468,-0.844782352,-2.020417304,-0.014566282,0,2,0.074448925,5,0.519071385,-1.839377337,-0.28834891,0.174482779,-0.262960216,-0.646553028,-0.546058737,13495,1,79,0.043563579,7849.96,28493.44,4108.81,2381.44,6492304,16900,12.0409,7.1824,81,12321,25000000,441,729,4.875197323
2,3,alfa-romero stelvio,1,0,1,0,2,0,-1.690771802,-0.426521468,-0.844782352,-2.020417304,-0.014566282,0,2,0.074448925,5,0.519071385,-1.839377337,-0.28834891,0.174482779,-0.262960216,-0.646553028,-0.546058737,16500,1,123,0.043563579,7849.96,28493.44,4108.81,2381.44,6492304,16900,12.0409,7.1824,81,12321,25000000,441,729,4.875197323
3,1,alfa-romero Quadrifoglio,1,0,1,2,2,0,-0.708595876,-0.231513047,-0.190566121,-0.543527476,0.514881916,5,3,0.604046168,5,-2.404880295,0.68594616,-0.28834891,1.264536428,-0.262960216,-0.953011688,-0.691627061,16500,1,29,0.054551895,8930.25,29309.44,4290.25,2745.76,7969329,23104,7.1824,12.0409,81,23716,25000000,361,676,5.030437921
4,2,audi 100 ls,1,0,0,3,1,0,0.173697752,0.207255902,0.136541994,0.235942156,-0.420797445,3,2,-0.431075716,5,-0.517265919,0.462183319,-0.035972825,-0.053667985,0.787855462,-0.186865037,-0.109353765,13950,2,1,0.0436457,9960.04,31187.56,4382.44,2948.49,5461569,11881,10.1761,11.56,100,10404,30250000,576,900,4.700480366
5,2,audi 100ls,1,0,0,3,0,0,0.107109553,0.207255902,0.230001455,0.235942156,0.516807182,3,1,0.218884537,5,-0.517265919,0.462183319,-0.540724994,0.275883119,0.787855462,-1.106241019,-1.273900356,17450,2,2,0.04072238,9880.36,31187.56,4408.96,2948.49,7974976,18496,10.1761,11.56,64,13225,30250000,324,484,4.919980926
6,2,audi fox,1,0,1,3,1,0,0.173697752,0.264133358,0.183271724,-0.256354454,-0.093502195,3,1,0.218884537,5,-0.517265919,0.462183319,-0.414536952,0.149132694,0.787855462,-0.953011688,-0.837195385,15250,2,74,0.043877144,9960.04,31435.29,4395.69,2819.61,6285049,18496,10.1761,11.56,72.25,12100,30250000,361,625,4.919980926
7,1,audi 100ls,1,0,0,3,1,0,1.172520727,1.515437396,2.566487992,0.8102882,0.555312506,3,1,0.218884537,5,-0.517265919,0.462183319,-0.414536952,0.149132694,0.787855462,-0.953011688,-0.837195385,17710,2,2,0.038677918,11193.64,37133.29,5097.96,3102.49,8088336,18496,10.1761,11.56,72.25,12100,30250000,361,625,4.919980926
8,1,audi 5000,1,0,0,4,1,0,1.172520727,1.515437396,2.566487992,0.8102882,0.767091785,3,1,0.218884537,5,-0.517265919,0.462183319,-0.414536952,0.149132694,0.787855462,-0.953011688,-0.837195385,18920,2,16,0.037237644,11193.64,37133.29,5097.96,3102.49,8726116,18496,10.1761,11.56,72.25,12100,30250000,361,625,4.919980926
9,1,audi 4000,1,1,0,3,1,0,1.172520727,1.515437396,2.566487992,0.892337635,1.02122692,3,1,0.098521527,5,-0.739338199,0.462183319,-0.465012169,0.90963524,0.787855462,-1.259470349,-1.565037004,23875,2,13,0.04536617,11193.64,37133.29,5097.96,3124.81,9523396,17161,9.7969,11.56,68.89,19600,30250000,289,400,4.882801923
10,0,audi 5000s (diesel),1,1,1,2,0,0,0.123756603,0.337261516,0.930947416,-0.707626346,0.957693137,3,1,0.098521527,5,-0.739338199,0.462183319,-0.793101079,1.416636937,0.787855462,-1.412699679,-1.273900356,17859.167,2,17,0.052407468,9900.25,31755.24,4610.41,2704,9320809,17161,9.7969,11.56,49,25600,30250000,256,484,4.882801923
11,2,bmw 320i,1,0,1,3,2,0,0.406756446,0.223506603,-0.517674237,0.235942156,-0.309132007,3,2,-0.455148318,5,0.630107525,-1.455783894,-0.338824127,-0.079018069,1.418344869,-0.340094367,-0.254922089,16430,3,12,0.04217119,10241.44,31258.24,4199.04,2948.49,5736025,11664,12.25,7.84,77.44,10201,33640000,529,841,4.691347882
12,0,bmw 320i,1,0,0,3,2,0,0.406756446,0.223506603,-0.517674237,0.235942156,-0.309132007,3,2,-0.455148318,5,0.630107525,-1.455783894,-0.338824127,-0.079018069,1.418344869,-0.340094367,-0.254922089,16925,3,12,0.04217119,10241.44,31258.24,4199.04,2948.49,5736025,11664,12.25,7.84,77.44,10201,33640000,529,841,4.691347882
