name,Buy-,Sell+,color 1,color 2,size,Miles_Price,source,seasonal_Availability,mannequin_Piece,style,type,villager_Equippable,catalog,filename,unique_Entry_ID
A tee,560,140,Blue,White,1,640,Nook Shopping Catalog,All Year,No,Simple,Yes,For sale,TopsTexTopTshirtsHAce0,8532,7XCg953t2tGAPuzaR
acid-washed jacket,1680,420,Blue,Blue,1,640,Able Sisters,All Year,Yes,Simple,Yes,For sale,TopsTexTopOuterLChemical0,5289,zAiLmCwSaWADqXkRf
acid-washed jacket,1680,420,Black,Black,1,640,Able Sisters,All Year,No,Simple,Yes,For sale,TopsTexTopOuterLChemical1,9538,K96PFk2AuQFqPrKH3
after-school jacket,1050,262,Black,Red,1,640,Able Sisters,All Year,Yes,Cool,Yes,For sale,TopsTexTopYshirtsLGakuranopen0,4366,rAfEdHYdt5e4AGTya
after-school jacket,1050,262,Red,Green,1,640,Able Sisters,All Year,No,Cool,Yes,For sale,TopsTexTopYshirtsLGakuranopen1,7554,mGvZuvYbGma2REd6A
after-school jacket,1050,262,Green,Yellow,1,640,Able Sisters,All Year,No,Cool,Yes,For sale,TopsTexTopYshirtsLGakuranopen2,7555,YHLqiyRYuF8BwEgaF
after-school jacket,1050,262,White,Black,1,640,Able Sisters,All Year,No,Cool,Yes,For sale,TopsTexTopYshirtsLGakuranopen3,7556,N6nbrMGHwztxBWTMm
after-school jacket,1050,262,Purple,Blue,1,640,Able Sisters,All Year,No,Cool,Yes,For sale,TopsTexTopYshirtsLGakuranopen4,7557,svQfLQXgrowTDaDoh
after-school jacket,1050,262,Gray,White,1,640,Able Sisters,All Year,No,Cool,Yes,For sale,TopsTexTopYshirtsLGakuranopen5,7558,m279zqujD3zTbp44a
after-school jacket,1050,262,Blue,Purple,1,640,Able Sisters,All Year,No,Cool,Yes,For sale,TopsTexTopYshirtsLGakuranopen6,7559,KzNwELnmeCmWBQMoD
animal-print coat,2320,580,Blue,Light blue,1,640,Able Sisters,Winter,Yes,Cute,Yes,For sale,TopsTexTopCoatLAnimal0,4465,ozg6yMkXQzsmkjPsW
animal-print coat,2320,580,Green,Green,1,640,Able Sisters,Winter,No,Cute,Yes,For sale,TopsTexTopCoatLAnimal1,8449,gWnBj8n2ZKrm8j8zf
animal-print coat,2320,580,Purple,Purple,1,640,Able Sisters,Winter,No,Cute,Yes,For sale,TopsTexTopCoatLAnimal2,8450,jKHbF6WwExfSBPBww
animal-print coat,2320,580,Pink,Pink,1,640,Able Sisters,Winter,No,Cute,Yes,For sale,TopsTexTopCoatLAnimal3,8451,rsgnoR4TBYBqJMXBg
animal-stripes tee,960,240,Yellow,Black,1,640,Able Sisters,Summer,No,Cool,Yes,For sale,TopsTexTopTshirtsHStripe0,8198,WTG2RBsXk5cimHsis
animal-stripes tee,960,240,Gray,Black,1,640,Able Sisters,Summer,No,Cool,Yes,For sale,TopsTexTopTshirtsHStripe1,12066,gkjWimKdm6sMgiTw8
annyeong tee,640,160,Light blue,White,1,640,Nook Shopping Catalog,All Year,No,Simple,Yes,For sale,TopsTexTopTshirtsHHellokr0,12117,mfMor9YWpsoEbPK5e
anorak jacket,1400,350,Beige,Beige,1,640,Able Sisters,All Year,No,Simple,Yes,For sale,TopsTexTopCoatLAnorak0,4793,agpR79ZTHcuQheDdF
anorak jacket,1400,350,Red,Red,1,640,Able Sisters,All Year,No,Simple,Yes,For sale,TopsTexTopCoatLAnorak1,9308,Ws4vh3dya8i8nPtJ9
anorak jacket,1400,350,Blue,Blue,1,640,Able Sisters,All Year,No,Simple,Yes,For sale,TopsTexTopCoatLAnorak2,9309,BaiWuWNL9muLeYYkQ
apron,840,210,Orange,White,1,640,Able Sisters,All Year,No,Simple,Yes,For sale,TopsTexTopCoatHApron0,3228,LTZqXvkrNxza2nMPb
apron,840,210,Green,White,1,640,Able Sisters,All Year,No,Simple,Yes,For sale,TopsTexTopCoatHApron1,9595,d5kmhJqzcK6uT3iJr
apron,840,210,Blue,White,1,640,Able Sisters,All Year,No,Simple,Yes,For sale,TopsTexTopCoatHApron2,9596,sc9Mtxn3PWuAtCtWt
apron,840,210,Pink,White,1,640,Able Sisters,All Year,No,Simple,Yes,For sale,TopsTexTopCoatHApron3,9597,yT7c96mMafv5QEddb
apron,840,210,Light blue,White,1,640,Able Sisters,All Year,No,Simple,Yes,For sale,TopsTexTopCoatHApron4,9598,EbD6WxjrdSDosTkPa
apron,840,210,Purple,White,1,640,Able Sisters,All Year,No,Simple,Yes,For sale,TopsTexTopCoatHApron5,9599,GRb6jZGaZzWdsmYuj
apron,840,210,Gray,White,1,640,Able Sisters,All Year,No,Simple,Yes,For sale,TopsTexTopCoatHApron6,9600,QdF6ZF74688kYPLx3
apron,840,210,Brown,White,1,640,Able Sisters,All Year,No,Simple,Yes,For sale,TopsTexTopCoatHApron7,9601,wu2TYq7RGJWFEugZs
Aran-knit cardigan,1300,325,Beige,Beige,1,640,Able Sisters,Winter,No,Simple,Yes,For sale,TopsTexTopOuterLArancardigan0,3643,fJR97K7r3qHAB2TLr
Aran-knit cardigan,1300,325,Light blue,Light blue,1,640,Able Sisters,Winter,No,Simple,Yes,For sale,TopsTexTopOuterLArancardigan1,7678,MzK6AWudRCPLEdSPi
Aran-knit cardigan,1300,325,Pink,Pink,1,640,Able Sisters,Winter,No,Simple,Yes,For sale,TopsTexTopOuterLArancardigan2,7679,mJtGnjdLxpmdakhxo
Aran-knit cardigan,1300,325,Yellow,Yellow,1,640,Able Sisters,Winter,No,Simple,Yes,For sale,TopsTexTopOuterLArancardigan3,7680,7nmckbhG5uG3JQxPz
Aran-knit sweater,1200,300,Red,Red,1,640,Able Sisters,Winter,No,Simple,Yes,For sale,TopsTexTopOuterLAran0,3633,Bk2v8mfDeJJX3khg6
Aran-knit sweater,1200,300,White,White,1,640,Able Sisters,Winter,No,Simple,Yes,For sale,TopsTexTopOuterLAran1,7672,r9fBZ2q6e4neh4vxK
