TeamName,PlayerName,Position,Games,Win rate,KDA,Avg kills,Avg deaths,Avg assists,CSPerMin,GoldPerMin,KP+,DamagePercent,DPM,VSPM,Avg WPM,Avg WCPM,Avg VWPM,GD@15,CSD@15,XPD@15,FB %,FB Victim,Penta Kills,Solo Kills,Country,FlashKeybind
0.0,369.0,0.0,8.0,0.5,3.1,2.5,2.4,4.9,7.6,373.0,0.532,0.219,508.0,0.91,0.38,0.11,0.13,322.0,5.0,424.0,0.0,0.25,0.0,2.0,0.0,0.0
0.0,369.0,0.0,9.0,0.333,4.8,5.0,2.0,4.7,10.1,449.0,0.815,0.308,650.0,1.16,0.39,0.34,0.1,-112.0,1.0,97.0,0.333,0.0,0.0,2.0,0.0,0.0
0.0,369.0,0.0,5.0,0.2,1.5,0.2,4.4,6.2,1.2,233.0,0.622,0.079,173.0,3.59,1.91,0.52,0.49,-3.0,2.0,-256.0,0.0,0.6,0.0,1.930232558139535,0.0,0.0
0.0,369.0,0.0,10.0,0.5,2.4,3.5,3.2,4.2,8.7,418.0,0.592,0.266,612.0,1.54,0.58,0.32,0.18,278.0,2.0,216.0,0.4,0.0,0.0,3.0,0.0,0.0
0.0,369.0,0.0,5.0,0.2,2.3,2.2,3.0,4.8,7.5,357.0,0.542,0.208,523.0,1.12,0.43,0.23,0.18,-311.0,-10.0,-168.0,0.2,0.0,0.0,1.930232558139535,0.0,0.0
0.0,369.0,0.0,5.0,0.2,4.4,4.4,2.0,4.4,10.0,444.0,0.643,0.314,776.0,1.13,0.35,0.4,0.1,-170.0,0.0,-188.0,0.6,0.0,0.0,1.930232558139535,0.0,0.0
0.0,369.0,0.0,12.0,0.667,4.2,4.3,2.3,5.2,8.1,413.0,0.555,0.216,552.0,1.07,0.45,0.18,0.19,-40.0,5.0,-9.0,0.167,0.167,0.0,4.0,0.0,0.0
0.0,369.0,0.0,13.0,0.615,4.1,4.4,2.4,5.3,8.3,437.0,0.619,0.236,551.0,1.25,0.46,0.23,0.18,387.0,5.0,232.0,0.154,0.077,0.0,2.0,0.0,0.0
0.0,369.0,0.0,8.0,0.375,3.7,3.4,2.5,5.9,8.2,399.0,0.623,0.222,501.0,1.24,0.45,0.23,0.15,224.0,0.0,342.0,0.125,0.0,0.0,1.0,0.0,0.0
0.0,369.0,0.0,14.0,0.5,3.7,1.1,2.5,8.1,1.1,244.0,0.669,0.071,159.0,3.75,1.98,0.5,0.44,-96.0,0.0,130.0,0.143,0.143,0.0,2.0,0.0,0.0
0.0,369.0,0.0,14.0,0.5,1.7,2.1,4.1,4.9,8.0,381.0,0.52,0.223,503.0,1.06,0.41,0.23,0.16,-6.0,1.0,118.0,0.071,0.357,0.0,3.0,0.0,0.0
0.0,369.0,0.0,10.0,0.7,6.5,2.0,1.7,9.0,6.4,350.0,0.723,0.139,356.0,1.67,0.5,0.4,0.3,-119.0,1.0,-21.0,0.5,0.0,0.0,1.930232558139535,0.0,0.0
0.0,369.0,0.0,8.0,0.375,3.6,2.4,2.8,7.5,8.8,403.0,0.709,0.271,608.0,0.85,0.3,0.16,0.14,-10.0,8.0,350.0,0.25,0.25,0.0,2.0,0.0,0.0
