MRE-,ACC+,PRED40+,N_estimators,criterion,Min_sample_leaves,Min_impurity_decrease,Max_depth
117.23,-4.24,0,40,squared_error,3,2.75,10
115.86,-4.06,0,190,squared_error,18,4.25,6
115.09,-3.96,0,130,squared_error,1,0.75,15
116.44,-4.14,0,170,squared_error,17,4.25,13
0,0,93.33333333,180,absolute_error,17,6.75,14
115.5,-4.02,0,200,squared_error,19,4.25,1
116.32,-4.12,0,130,squared_error,3,2.5,17
118.29,-4.36,0,30,poisson,6,9.25,10
0,0,93.33333333,190,absolute_error,8,8.25,2
114.83,-3.92,0,90,squared_error,8,5.5,4
114.05,-3.81,0,80,squared_error,13,6,17
115.14,-3.97,0,10,poisson,1,5.5,9
117.38,-4.25,0,190,squared_error,9,3.5,5
111.21,-3.35,0,40,squared_error,1,0.25,19
115.2,-3.98,0,120,poisson,5,6.5,10
117.05,-4.21,0,150,poisson,2,6.25,9
117.09,-4.22,0,180,poisson,19,0.5,6
116.22,-4.11,0,190,squared_error,10,3.75,2
116.2,-4.11,0,160,squared_error,1,4.5,8
117.69,-4.29,0,180,poisson,10,1.25,10
0,0,93.33333333,40,absolute_error,5,9.5,16
115.75,-4.05,0,190,poisson,1,2.75,14
115.95,-4.07,0,200,squared_error,9,5,5
116.56,-4.15,0,140,poisson,5,6,3
116.31,-4.12,0,60,squared_error,20,6,3
116.76,-4.18,0,100,poisson,6,3.5,2
0,0,93.33333333,110,absolute_error,12,3.5,11
116.58,-4.16,0,60,squared_error,17,1.5,18
0,0,93.33333333,120,absolute_error,2,2.5,11
0,0,93.33333333,170,absolute_error,13,8,18
114.23,-3.84,0,30,squared_error,11,6.75,1
115.95,-4.07,0,10,squared_error,1,6.75,5
115.75,-4.05,0,150,squared_error,12,1.5,1
113.24,-3.69,0,20,squared_error,16,2.25,3
115.78,-4.05,0,50,squared_error,4,4.5,7
116.94,-4.2,0,150,squared_error,14,5.5,18
115.54,-4.02,0,120,squared_error,1,4.75,3
0,0,93.33333333,140,absolute_error,8,6.25,14
116.15,-4.1,0,80,squared_error,16,9.25,20
0,0,93.33333333,160,absolute_error,1,7,9
0,0,93.33333333,50,absolute_error,9,2,5
0,0,93.33333333,110,absolute_error,4,2.5,18
116.87,-4.19,0,70,poisson,16,4.5,14
117.93,-4.32,0,180,poisson,12,1.25,11
0,0,93.33333333,10,absolute_error,5,8.5,19
115.77,-4.05,0,30,squared_error,20,3.75,19
115.57,-4.02,0,100,squared_error,6,3.75,1
0,0,93.33333333,100,absolute_error,13,3.25,13
116.59,-4.16,0,100,poisson,16,4.75,11
117.3,-4.24,0,20,squared_error,16,7,10
116.73,-4.17,0,180,poisson,18,8.75,3
116.49,-4.14,0,120,poisson,18,2.75,2
115.68,-4.04,0,170,poisson,14,10,2
0,0,93.33333333,60,absolute_error,17,9,5
115.14,-3.97,0,10,poisson,11,3.75,2
0,0,93.33333333,140,absolute_error,17,1.75,13
0,0,93.33333333,70,absolute_error,18,4,7
117.75,-4.3,0,90,poisson,10,2,7
116.67,-4.17,0,120,squared_error,3,2,1
117.82,-4.31,0,140,squared_error,15,0.25,15
117.25,-4.24,0,170,poisson,18,3,1
0,0,93.33333333,200,absolute_error,18,0.5,15
116.17,-4.1,0,190,poisson,4,6.5,17
114.57,-3.89,0,100,squared_error,18,7.5,19
115.68,-4.04,0,40,poisson,12,3,13
0,0,93.33333333,90,absolute_error,12,5,15
0,0,93.33333333,10,absolute_error,11,5.25,7
0,0,93.33333333,70,absolute_error,7,5.25,2
117.84,-4.31,0,30,squared_error,4,6.75,7
116.85,-4.19,0,30,squared_error,3,5.25,5
117.96,-4.32,0,90,poisson,16,8,10
0,0,93.33333333,150,absolute_error,7,4.25,12
0,0,93.33333333,140,absolute_error,18,4.75,14
116.11,-4.1,0,160,squared_error,5,8,5
115.61,-4.03,0,40,squared_error,19,3.5,15
0,0,93.33333333,120,absolute_error,4,7.25,3
115.16,-3.97,0,100,poisson,20,3,6
0,0,93.33333333,130,absolute_error,17,8,14
0,0,93.33333333,160,absolute_error,4,2.5,5
117.11,-4.22,0,160,squared_error,13,2.75,15
116.92,-4.2,0,100,poisson,3,4.5,11
115.8,-4.06,0,200,squared_error,12,0.75,16
115.92,-4.07,0,180,squared_error,13,1,12
115.32,-3.99,0,30,squared_error,9,9.75,6
114.8,-3.92,0,40,poisson,6,2.5,16
116.27,-4.12,0,140,squared_error,6,7,3
117.52,-4.27,0,60,poisson,2,6,12
0,0,93.33333333,80,absolute_error,3,8.5,12
115.88,-4.07,0,160,squared_error,18,5.75,10
0,0,93.33333333,120,absolute_error,19,2.5,17
0,0,93.33333333,180,absolute_error,10,1.5,9
118.17,-4.35,0,140,squared_error,6,1.25,5
114.81,-3.92,0,150,squared_error,13,6.25,5
0,0,93.33333333,110,absolute_error,12,4.75,17
0,0,93.33333333,130,absolute_error,9,9.75,8
117.31,-4.25,0,190,poisson,11,7.25,4
0,0,93.33333333,40,absolute_error,7,6.25,2
0,0,93.33333333,30,absolute_error,20,4.5,20
0,0,93.33333333,30,absolute_error,13,9.5,13
115.1,-3.96,0,80,poisson,20,6.25,5
0,0,93.33333333,110,absolute_error,10,4.5,15
122.16,-4.76,0,20,poisson,13,0,2
118.72,-4.41,0,40,squared_error,5,4.75,19
0,0,93.33333333,20,absolute_error,5,3,9
116.3,-4.12,0,100,squared_error,16,7.25,6
115.37,-4,0,80,squared_error,2,4.5,15
114.05,-3.81,0,10,squared_error,14,1.25,18
114.32,-3.85,0,50,squared_error,1,2,14
116.04,-4.09,0,60,squared_error,16,0,20
116.29,-4.12,0,150,poisson,20,1.75,5
115.38,-4,0,110,squared_error,9,1.5,4
115.14,-3.97,0,20,squared_error,9,8.25,18
0,0,93.33333333,10,absolute_error,5,7.5,18
115.36,-4,0,170,squared_error,20,9.25,13
0,0,93.33333333,110,absolute_error,11,5.25,20
116.2,-4.11,0,130,poisson,15,9.25,11
116.22,-4.11,0,50,poisson,2,9.75,5
118.65,-4.4,0,10,squared_error,10,6.75,2
120.09,-4.55,0,30,squared_error,3,1.25,8
115.73,-3.8,0,170,squared_error,13,0,7
116.28,-4.12,0,170,poisson,8,3.5,15
116.18,-4.1,0,150,poisson,12,7.75,9
0,0,93.33333333,150,absolute_error,4,1.25,2
0,0,93.33333333,90,absolute_error,18,5.5,5
116.37,-4.13,0,140,poisson,2,8.75,17
0,0,93.33333333,50,absolute_error,15,0,11
115.68,-4.04,0,110,poisson,2,8.75,18
115.49,-4.01,0,160,poisson,12,8.5,3
117.09,-4.22,0,80,squared_error,4,2.5,13
0,0,93.33333333,120,absolute_error,12,7.5,13
116.2,-4.11,0,130,poisson,15,9,15
0,0,93.33333333,30,absolute_error,10,4.75,8
116.73,-4.17,0,90,poisson,10,7.75,15
116.76,-4.18,0,130,squared_error,4,6,16
116.37,-4.13,0,70,poisson,12,4.5,15
117.3,-4.24,0,20,squared_error,13,3.75,10
117.21,-4.23,0,30,squared_error,4,2.5,14
117.03,-4.21,0,110,squared_error,6,1.25,11
116.33,-4.12,0,170,squared_error,1,3.5,13
116.04,-4.09,0,150,squared_error,10,8.5,18
117.48,-4.27,0,90,squared_error,3,6.75,9
0,0,93.33333333,140,absolute_error,6,1.5,4
114.57,-3.89,0,200,poisson,6,9.25,2
116.17,-4.1,0,110,poisson,19,0.5,15
116.58,-4.16,0,140,poisson,15,6,20
115.63,-4.03,0,190,squared_error,17,7.25,15
0,0,93.33333333,100,absolute_error,13,7,15
115.14,-3.97,0,70,poisson,15,4.25,3
0,0,93.33333333,120,absolute_error,16,4.75,19
0,0,93.33333333,130,absolute_error,14,9.75,10
115.2,-3.98,0,120,poisson,19,0.25,10
115.84,-4.06,0,150,squared_error,10,4.5,2
114.72,-3.91,0,130,poisson,4,2,7
0,0,93.33333333,30,absolute_error,20,0.25,9
112.84,-3.63,0,20,poisson,3,1,17
116.58,-4.16,0,30,squared_error,15,4,12
117.3,-4.24,0,60,poisson,15,5.25,17
113.65,-3.75,0,40,poisson,1,7,17
116.85,-4.19,0,180,poisson,8,4.25,20
0,0,93.33333333,120,absolute_error,20,9.75,2
115.87,-4.06,0,140,poisson,8,1.25,9
0,0,93.33333333,50,absolute_error,20,4.25,2
117.12,-4.22,0,90,poisson,6,7.75,2
