MRE-,ACC+,PRED40+,N_estimators,criterion,Min_sample_leaves,Min_impurity_decrease,Max_depth
155.91,-29.7,0,40,squared_error,3,2.75,10
498.09,-13.34,0,190,squared_error,18,4.25,6
149.75,2.2,0,130,squared_error,1,0.75,15
515.75,-13.3,0,170,squared_error,17,4.25,13
101.39,-0.67,0,180,absolute_error,17,6.75,14
537.64,-13.26,0,200,squared_error,19,4.25,1
160.85,-15.14,0,130,squared_error,3,2.5,17
481.21,-13.38,0,30,poisson,6,9.25,10
100.26,-0.13,0,190,absolute_error,8,8.25,2
503.17,-16.97,0,90,squared_error,8,5.5,4
582.5,-13.18,0,80,squared_error,13,6,17
179.91,-11.76,0,10,poisson,1,5.5,9
561.53,-13.69,0,190,squared_error,9,3.5,5
178.57,-12.78,0,40,squared_error,1,0.25,19
506.23,-9.21,0,120,poisson,5,6.5,10
242.59,-20.22,11.11111111111111,150,poisson,2,6.25,9
508.41,-13.32,0,180,poisson,19,0.5,6
545.41,-13.24,0,190,squared_error,10,3.75,2
161.34,-46.41,0,160,squared_error,1,4.5,8
490.88,-13.35,0,180,poisson,10,1.25,10
103.75,-1.69,0,40,absolute_error,5,9.5,16
163.81,-24.35,0,190,poisson,1,2.75,14
491.05,-13.94,0,200,squared_error,9,5,5
441.19,-14.5,0,140,poisson,5,6,3
480.61,-13.38,0,60,squared_error,20,6,3
414.04,-7.37,0,100,poisson,6,3.5,2
0,0,88.88888888888889,110,absolute_error,12,3.5,11
532.27,-13.27,0,60,squared_error,17,1.5,18
0,0,88.88888888888889,120,absolute_error,2,2.5,11
101.47,-0.7,0,170,absolute_error,13,8,18
545.76,-13.24,0,30,squared_error,11,6.75,1
162.5,-61.32,0,10,squared_error,1,6.75,5
570.09,-13.2,0,150,squared_error,12,1.5,1
554.55,-13.23,0,20,squared_error,16,2.25,3
164.42,-21.8,0,50,squared_error,4,4.5,7
498.18,-13.34,0,150,squared_error,14,5.5,18
162.41,-61.1,0,120,squared_error,1,4.75,3
0,0,88.88888888888889,140,absolute_error,8,6.25,14
533.81,-13.26,0,80,squared_error,16,9.25,20
101.56,-0.75,0,160,absolute_error,1,7,9
102,-0.94,0,50,absolute_error,9,2,5
100.45,-42.88,0,110,absolute_error,4,2.5,18
545.06,-13.24,0,70,poisson,16,4.5,14
531.69,-13.27,0,180,poisson,12,1.25,11
0,0,88.88888888888889,10,absolute_error,5,8.5,19
476.52,-13.39,0,30,squared_error,20,3.75,19
278.67,-23.24,0,100,squared_error,6,3.75,1
101,-0.49,0,100,absolute_error,13,3.25,13
512.36,-13.31,0,100,poisson,16,4.75,11
495,-13.34,0,20,squared_error,16,7,10
503.36,-13.33,0,180,poisson,18,8.75,3
530.91,-13.27,0,120,poisson,18,2.75,2
504.39,-13.32,0,170,poisson,14,10,2
0,0,88.88888888888889,60,absolute_error,17,9,5
632.27,-13.12,0,10,poisson,11,3.75,2
100.71,-0.35,0,140,absolute_error,17,1.75,13
101.43,-0.68,0,70,absolute_error,18,4,7
558.03,-13.22,0,90,poisson,10,2,7
