  , K,       ,Some,    ,Stop, 1/8, 2/8, 3/8, 4/8, 5/8, 6/8, 7/8
K,  1 , Some,64 ,Stop,  12 , -1.16, (-0.45), -0.08, [0.00], 0.05, (0.36), 1.06
K,  1 , Some,128 ,Stop,  12 , -1.22, (-0.47), -0.09, [0.00], 0.04, (0.34), 1.03
K,  1 , Some,256 ,Stop , 12 , -1.30, (-0.54), -0.11, [0.00], 0.04, (0.34), 1.06
K,  1 , Some,512 ,Stop,  12 , -1.37, (-0.59), -0.15, [-0.00], 0.03, (0.32), 1.04
K,  1 , Some,64 ,Stop,  24 , -1.04, (-0.36), -0.06, [0.00], 0.05, (0.34), 1.00
K,  1 , Some,128 ,Stop,  24 , -1.09, (-0.39), -0.07, [0.00], 0.04, (0.31), 0.97
K,  1 , Some,256 ,Stop , 24 , -1.15, (-0.43), -0.08, [0.00], 0.03, (0.31), 0.96
K,  1 , Some,512 ,Stop,  24 , -1.24, (-0.50), -0.11, [-0.00], 0.03, (0.29), 0.94
K,  1 , Some,64 ,Stop,  48 , -0.94, (-0.31), -0.04, [0.00], 0.05, (0.31), 0.94
K,  1 , Some,128 ,Stop,  48 , -0.95, (-0.31), -0.05, [0.00], 0.04, (0.30), 0.93
K,  1 , Some,256 ,Stop,  48 , -1.00, (-0.33), -0.05, [0.00], 0.03, (0.29), 0.92
K,  1 , Some,512 ,Stop , 48 , -1.10, (-0.40), -0.07, [0.00], 0.03, (0.27), 0.91
K,  2 , Some,64 ,Stop , 12 , -1.01, (-0.48), -0.14, [-0.00], 0.07, (0.39), 0.96
K,  2 , Some,128 ,Stop , 12 , -1.09, (-0.52), -0.16, [-0.01], 0.05, (0.35), 0.93
K,  2 , Some,256 ,Stop,  12 , -1.18, (-0.56), -0.18, [-0.01], 0.04, (0.33), 0.93
K,  2 , Some,512 ,Stop,  12 , -1.26, (-0.63), -0.22, [-0.02], 0.03, (0.32), 0.94
K,  2 , Some,64 ,Stop , 24 , -0.89, (-0.39), -0.10, [-0.00], 0.07, (0.36), 0.90
K,  2 , Some,128 ,Stop,  24 , -0.95, (-0.42), -0.12, [-0.00], 0.05, (0.33), 0.89
K,  2 , Some,256 ,Stop,  24 , -1.02, (-0.47), -0.14, [-0.00], 0.04, (0.31), 0.86
K,  2 , Some,512 ,Stop,  24 , -1.10, (-0.52), -0.16, [-0.01], 0.03, (0.29), 0.87
K,  2 , Some,64 ,Stop , 48 , -0.84, (-0.36), -0.08, [0.00], 0.06, (0.33), 0.86
K,  2 , Some,128 ,Stop,  48 , -0.85, (-0.36), -0.09, [-0.00], 0.05, (0.31), 0.84
K,  2 , Some,256 ,Stop,  48 , -0.90, (-0.39), -0.10, [-0.00], 0.04, (0.29), 0.83
K,  2 , Some,512 ,Stop,  48 , -0.96, (-0.43), -0.12, [-0.00], 0.03, (0.28), 0.83
K,  4 , Some,64 ,Stop,  12 , -0.96, (-0.49), -0.20, [-0.02], 0.07, (0.38), 0.92
K,  4 , Some,128 ,Stop,  12 , -1.04, (-0.54), -0.22, [-0.02], 0.06, (0.37), 0.91
K,  4 , Some,256 ,Stop,  12 , -1.11, (-0.57), -0.23, [-0.03], 0.04, (0.34), 0.89
K,  4 , Some,512 ,Stop,  12 , -1.21, (-0.64), -0.28, [-0.04], 0.03, (0.31), 0.89
K,  4 , Some,64 ,Stop,  24 , -0.85, (-0.42), -0.15, [-0.01], 0.08, (0.37), 0.87
K,  4 , Some,128 ,Stop,  24 , -0.89, (-0.44), -0.16, [-0.01], 0.06, (0.34), 0.85
K,  4 , Some,256 ,Stop,  24 , -0.94, (-0.47), -0.18, [-0.01], 0.05, (0.32), 0.84
K,  4 , Some,512 ,Stop,  24 , -1.02, (-0.51), -0.20, [-0.02], 0.04, (0.31), 0.85
K,  4 , Some,64 ,Stop , 48 , -0.78, (-0.37), -0.13, [-0.00], 0.08, (0.35), 0.82
K,  4 , Some,128 ,Stop,  48 , -0.79, (-0.38), -0.13, [-0.00], 0.06, (0.32), 0.81
K,  4 , Some,256 ,Stop,  48 , -0.85, (-0.41), -0.15, [-0.01], 0.04, (0.30), 0.79
K,  4 , Some,512 ,Stop,  48 , -0.91, (-0.45), -0.17, [-0.01], 0.04, (0.28), 0.79
