# likely
# 80
# near
28,! 28,|,93,22,3,nasa93dem.csv
# likely
# 80
# near
33,! 33,|,247,22,2,wallpaper.csv
# likely
# 80
# near
33,! 33,|,398,4,3,auto93.csv
# likely
# 80
# near
99,! 99,|,913,20,2,dress-up.csv
# likely
# 80
# near
97,! 97,|,1121,14,2,accessories.csv
# likely
# 80
# near
80,! 80,|,317,7,4,A2C_CartPole.csv
# likely
# 80
# near
43,! 43,|,223,10,3,A2C_Acrobot.csv
# likely
# 80
# near
42,! 42,|,500,9,3,pom3d.csv
# likely
# 80
# near
39,! 39,|,1599,10,2,Wine_quality.csv
# likely
# 80
# near
13,! 13,|,5160,9,1,dataset600.csv
# likely
# 80
# near
12,! 12,|,5160,9,1,dataset120.csv
# likely
# 80
# near
34,! 34,|,10000,5,3,Health-Commits0007.csv
# likely
# 80
# near
57,! 57,|,1000,20,5,coc1000.csv
# likely
# 80
# near
35,! 35,|,10000,5,3,Health-Commits0009.csv
# likely
# 80
# near
63,! 63,|,10000,5,3,Health-Commits0003.csv
# likely
# 80
# near
0,! 0,|,10000,5,3,Health-Commits0011.csv
# likely
# 80
# near
52,! 52,|,10000,5,3,Health-Commits0006.csv
# likely
# 80
# near
51,! 51,|,10000,5,3,Health-Commits0008.csv
# likely
# 80
# near
36,! 36,|,10000,5,3,Health-Commits0010.csv
# likely
# 80
# near
72,! 72,|,10000,5,3,Health-Commits0004.csv
# likely
# 80
# near
57,! 57,|,10000,5,3,Health-Commits0005.csv
# likely
# 80
# near
65,! 65,|,10000,5,3,Health-Commits0002.csv
# likely
# 80
# near
0,! 0,|,350,20,1,socks.csv
# likely
# 80
# near
3,! 3,|,10000,5,3,Health-Commits0001.csv
# likely
# 80
# near
19,! 19,|,10000,5,3,Health-Commits0000.csv
# likely
# 80
# near
0,! 0,|,10000,5,3,Health-ClosedPRs0011.csv
# likely
# 80
# near
73,! 73,|,205,38,5,Car_price_cleaned.csv
# likely
# 80
# near
51,! 51,|,10000,5,3,Health-ClosedPRs0010.csv
# likely
# 80
# near
61,! 61,|,10000,5,3,Health-ClosedPRs0009.csv
# likely
# 80
# near
31,! 31,|,10000,5,3,Health-ClosedPRs0008.csv
# likely
# 80
# near
0,! 0,|,10000,5,3,Health-ClosedPRs0007.csv
# likely
# 80
# near
35,! 35,|,10000,5,3,Health-ClosedPRs0006.csv
# likely
# 80
# near
0,! 0,|,10000,5,3,Health-ClosedPRs0005.csv
# likely
# 80
# near
4,! 4,|,10000,5,3,Health-ClosedPRs0004.csv
# likely
# 80
# near
1,! 1,|,10000,5,3,Health-ClosedPRs0003.csv
# likely
# 80
# near
0,! 0,|,1152,16,1,X264_AllMeasurements.csv
# likely
# 80
# near
54,! 54,|,2938,20,2,Life_Expectancy_Data.csv
# likely
# 80
# near
0,! 0,|,196,3,1,wc+wc-3d-c4-obj1.csv
# likely
# 80
# near
0,! 0,|,196,3,1,wc+sol-3d-c4-obj1.csv
# likely
# 80
# near
0,! 0,|,196,3,1,wc+rs-3d-c4-obj1.csv
# likely
# 80
# near
0,! 0,|,10000,5,2,Health-ClosedPRs0000.csv
# likely
# 80
# near
54,! 54,|,10000,5,3,Health-ClosedIssues0009.csv
# likely
# 80
# near
0,! 0,|,10000,5,3,Health-ClosedIssues0011.csv
# likely
# 80
# near
84,! 84,|,10000,5,3,Health-ClosedIssues0010.csv
# likely
# 80
# near
51,! 51,|,2205,31,8,Marketing_Analytics.csv
# likely
# 80
# near
74,! 74,|,10000,5,3,Health-ClosedIssues0004.csv
# likely
# 80
# near
76,! 76,|,10000,5,3,Health-ClosedIssues0007.csv
# likely
# 80
# near
30,! 30,|,10000,5,3,Health-ClosedIssues0006.csv
# likely
# 80
# near
0,! 0,|,10000,5,3,Health-ClosedPRs0002.csv
# likely
# 80
# near
25,! 25,|,10000,5,3,Health-ClosedIssues0008.csv
# likely
# 80
# near
37,! 37,|,10000,5,3,Health-ClosedIssues0005.csv
# likely
# 80
# near
20,! 20,|,7043,19,2,WA_Fn-UseC_-Telco-Customer-Churn.csv
# likely
# 80
# near
24,! 24,|,10000,5,3,Health-ClosedIssues0003.csv
# likely
# 80
# near
19,! 19,|,10000,5,3,Health-ClosedIssues0002.csv
# likely
# 80
# near
60,! 60,|,10000,5,3,Health-ClosedIssues0001.csv
# likely
# 80
# near
20,! 20,|,10000,5,3,Health-ClosedIssues0000.csv
# likely
# 80
# near
2,! 2,|,1023,11,2,SS-P.csv
# likely
# 80
# near
15,! 15,|,972,11,2,SS-O.csv
# likely
# 80
# near
0,! 0,|,196,3,2,SS-G.csv
# likely
# 80
# near
1,! 1,|,2880,6,1,wc-6d-c1-obj1.csv
# likely
# 80
# near
0,! 0,|,259,4,2,SS-H.csv
# likely
# 80
# near
0,! 0,|,864,17,3,SS-M.csv
# likely
# 80
# near
4,! 4,|,1080,5,2,SS-I.csv
# likely
# 80
# near
3,! 3,|,196,3,2,SS-F.csv
# likely
# 80
# near
32,! 32,|,196,3,2,SS-D.csv
# likely
# 80
# near
35,! 35,|,20000,9,3,pom3b.csv
# likely
# 80
# near
36,! 36,|,20000,9,3,pom3a.csv
# likely
# 80
# near
55,! 55,|,20000,9,3,pom3c.csv
# likely
# 80
# near
9,! 9,|,756,3,2,SS-E.csv
# likely
# 80
# near
18,! 18,|,3008,14,2,SS-R.csv
# likely
# 80
# near
4,! 4,|,2736,13,3,SS-Q.csv
# likely
# 80
# near
0,! 0,|,206,3,2,SS-B.csv
# likely
# 80
# near
17,! 17,|,2880,6,2,SS-K.csv
# likely
# 80
# near
19,! 19,|,1512,3,2,SS-C.csv
# likely
# 80
# near
5,! 5,|,3840,6,2,SS-S.csv
# likely
# 80
# near
5,! 5,|,192,9,1,Apache_AllMeasurements.csv
# likely
# 80
# near
1,! 1,|,1023,11,2,SS-L.csv
# likely
# 80
# near
6,! 6,|,3840,6,2,SS-J.csv
# likely
# 80
# near
3,! 3,|,4608,21,2,SS-U.csv
# likely
# 80
# near
4,! 4,|,1343,3,2,SS-A.csv
# likely
# 80
# near
3,! 3,|,5184,12,2,SS-T.csv
# likely
# 80
# near
34,! 34,|,10000,25,4,xomo_osp2.csv
# likely
# 80
# near
17,! 17,|,6840,16,2,SS-V.csv
# likely
# 80
# near
16,! 16,|,10000,25,4,xomo_osp.csv
# likely
# 80
# near
19,! 19,|,10000,25,4,xomo_ground.csv
# likely
# 80
# near
15,! 15,|,10000,25,4,xomo_flight.csv
# likely
# 80
# near
0,! 0,|,3840,6,1,rs-6d-c3_obj2.csv
# likely
# 80
# near
6,! 6,|,2866,6,1,sol-6d-c2-obj1.csv
# likely
# 80
# near
0,! 0,|,3840,6,1,rs-6d-c3_obj1.csv
# likely
# 80
# near
94,! 94,|,1460,77,4,home_data_for_ml_course.csv
# likely
# 80
# near
12,! 12,|,81,26,1,player_statistics_cleaned_final.csv
# likely
# 80
# near
3,! 3,|,3456,14,1,HSMGP_num.csv
# likely
# 80
# near
0,! 0,|,649,33,1,student_dropout.csv
# likely
# 80
# near
40,! 40,|,10127,19,4,BankChurners.csv
# likely
# 80
# near
31,! 31,|,4653,38,1,SQL_AllMeasurements.csv
# likely
# 80
# near
29,! 29,|,1470,32,3,WA_Fn-UseC_-HR-Employee-Attrition.csv
# likely
# 80
# near
20,! 20,|,1000,124,3,Scrum1k.csv
# likely
# 80
# near
83,! 83,|,20000,31,5,Loan.csv
# likely
# 80
# near
23,! 23,|,10000,88,3,billing10k.csv
# likely
# 80
# near
24,! 24,|,10000,124,3,Scrum10k.csv
# likely
# 80
# near
101,! 101,|,21759,35,3,Data_COVID19_Indonesia.csv
# likely
# 80
# near
10,! 10,|,25000,64,1,Medical_Data_and_Hospital_Readmissions.csv
# likely
# 80
# near
27,! 27,|,10000,128,3,FFM-125-25-0.50-SAT-1.csv
# likely
# 80
# near
55,! 55,|,65536,16,2,SS-W.csv
# likely
# 80
# near
73,! 73,|,17737,55,2,all_players.csv
# likely
# 80
# near
18,! 18,|,10000,256,3,FFM-250-50-0.50-SAT-1.csv
# likely
# 80
# near
37,! 37,|,86058,11,2,SS-X.csv
# likely
# 80
# near
62,! 62,|,53662,17,2,SS-N.csv
# likely
# 80
# near
23,! 23,|,10000,511,3,FM-500-100-1.00-SAT-1.csv
# likely
# 80
# near
25,! 25,|,10000,511,3,FM-500-100-0.75-SAT-1.csv
# likely
# 80
# near
16,! 16,|,10000,510,3,FFM-500-100-0.50-SAT-1.csv
# likely
# 80
# near
30,! 30,|,10000,517,3,FM-500-100-0.25-SAT-1.csv
# likely
# 80
# near
20,! 20,|,10000,513,3,FM-500-100-0.50-SAT-1.csv
# likely
# 80
# near
37,! 37,|,100000,124,3,Scrum100k.csv
# likely
# 80
# near
24,! 24,|,10000,1044,3,FFM-1000-200-0.50-SAT-1.csv
