#
 0,           EXPLORE,60,  0.00,  0.00, *                   |                   ,  0.00,  0.01
 0,           exploit,30,  0.00,  0.00, *                   |                   ,  0.00,  0.02
 0,           exploit,50,  0.00,  0.00, *                   |                   ,  0.00,  0.01
 0,           EXPLORE,50,  0.00,  0.00, *                   |                   ,  0.00,  0.01
 0,           exploit,55,  0.00,  0.00, *                   |                   ,  0.00,  0.01
 0,           EXPLORE,55,  0.00,  0.00, *                   |                   ,  0.00,  0.01
 0,           exploit,60,  0.00,  0.00, *                   |                   ,  0.00,  0.01
 0,           EXPLORE,35,  0.00,  0.00, *                   |                   ,  0.00,  0.01
 0,           exploit,45,  0.00,  0.00, *                   |                   ,  0.00,  0.01
 0,           EXPLORE,45,  0.00,  0.00, *                   |                   ,  0.00,  0.01
 0,           exploit,35,  0.00,  0.00, *                   |                   ,  0.00,  0.02
 0,           EXPLORE,40,  0.00,  0.01, *                   |                   ,  0.00,  0.01
 0,           exploit,40,  0.00,  0.00, *                   |                   ,  0.00,  0.01
 0,           EXPLORE,25,  0.00,  0.00, *                   |                   ,  0.00,  0.03
 0,           EXPLORE,30,  0.00,  0.00, *                   |                   ,  0.00,  0.01
 0,           exploit,25,  0.00,  0.00, *                   |                   ,  0.00,  0.02
 0,               rrp,13,  0.00,  0.00, *                   |                   ,  0.00,  0.01
#
 1,            random,50,  0.00,  0.01, *                   |                   ,  0.00,  0.02
 1,            random,40,  0.00,  0.00, *                   |                   ,  0.00,  0.01
 1,            random,55,  0.00,  0.00, *                   |                   ,  0.00,  0.01
 1,            random,60,  0.00,  0.00, *                   |                   ,  0.00,  0.01
#
 2,           exploit,20,  0.00,  0.01, *-                  |                   ,  0.00,  0.05
 2,            random,30,  0.00,  0.00, *                   |                   ,  0.00,  0.02
 2,            random,35,  0.01,  0.00, *                   |                   ,  0.00,  0.02
 2,            random,45,  0.01,  0.00, *                   |                   ,  0.00,  0.01
#
 3,           EXPLORE,20,  0.01,  0.01, *                   |                   ,  0.00,  0.02
 3,            random,25,  0.01,  0.00, *                   |                   ,  0.00,  0.02
 3,            random,20,  0.01,  0.01, *                   |                   ,  0.00,  0.02
#
 4,        baseline,3456,  0.03,  0.03, -*---------------   |                   ,  0.00,  0.73
