#
 0,           exploit,50,  0.11,  0.04, --- *-              |                   ,  0.00,  0.17
 0,           exploit,60,  0.12,  0.09, --   *-             |                   ,  0.00,  0.16
 0,           exploit,55,  0.12,  0.11, --   *-             |                   ,  0.00,  0.18
 0,           exploit,45,  0.12,  0.06,   -  *-             |                   ,  0.00,  0.22
 0,           exploit,30,  0.13,  0.08,   -  *--            |                   ,  0.00,  0.20
 0,           exploit,25,  0.13,  0.06, ---- *----          |                   ,  0.00,  0.28
 0,            random,45,  0.13,  0.04,   ---*--            |                   ,  0.02,  0.21
 0,           exploit,40,  0.13,  0.04, ---- *--            |                   ,  0.00,  0.21
 0,            random,55,  0.13,  0.05,   -  *--            |                   ,  0.00,  0.24
 0,            random,60,  0.13,  0.02,    --*              |                   ,  0.05,  0.16
 0,            random,50,  0.14,  0.03,     -*--            |                   ,  0.05,  0.19
 0,           exploit,35,  0.14,  0.03,   --- *-            |                   ,  0.00,  0.22
 0,            random,30,  0.15,  0.03,       *-            |                   ,  0.09,  0.24
 0,           exploit,20,  0.15,  0.04,       *---          |                   ,  0.05,  0.27
 0,            random,40,  0.15,  0.03,   ----*---          |                   ,  0.02,  0.26
#
 1,            random,35,  0.16,  0.02,      - *            |                   ,  0.11,  0.21
 1,            random,20,  0.16,  0.04,    --- *--          |                   ,  0.04,  0.31
#
 2,            random,25,  0.18,  0.06,      - * -          |                   ,  0.05,  0.25
#
 3,        baseline,4653,  0.48,  0.13,                ---  *  ----------       ,  0.18,  0.92
