#
 0,           exploit,55,  0.00,  0.02, *----               |                   ,  0.00,  0.07
 0,           exploit,60,  0.00,  0.01, *----               |                   ,  0.00,  0.08
#
 1,           exploit,45,  0.01,  0.03, * -                 |                   ,  0.00,  0.06
#
 2,           exploit,50,  0.02,  0.02,  *---               |                   ,  0.00,  0.07
 2,           exploit,35,  0.02,  0.02,  *-                 |                   ,  0.00,  0.06
#
 3,           exploit,40,  0.02,  0.02, -* --               |                   ,  0.00,  0.10
 3,           exploit,30,  0.02,  0.02, -* --               |                   ,  0.00,  0.07
 3,           exploit,20,  0.03,  0.04,   *----             |                   ,  0.00,  0.09
 3,            random,60,  0.03,  0.02, - *--               |                   ,  0.00,  0.07
 3,           exploit,25,  0.03,  0.04,   *----             |                   ,  0.00,  0.09
 3,            random,50,  0.04,  0.02,  - *-               |                   ,  0.02,  0.07
#
 4,            random,40,  0.04,  0.03,  - *--              |                   ,  0.00,  0.08
 4,            random,45,  0.04,  0.02,  - *                |                   ,  0.00,  0.06
 4,            random,55,  0.04,  0.04,  - *                |                   ,  0.00,  0.08
 4,            random,30,  0.05,  0.04, -  *--              |                   ,  0.00,  0.09
 4,            random,35,  0.05,  0.02,   - *--             |                   ,  0.00,  0.09
#
 5,            random,25,  0.06,  0.03,  ---* -             |                   ,  0.01,  0.09
 5,            random,20,  0.06,  0.03,    - *--            |                   ,  0.03,  0.13
#
 6,        baseline,1343,  0.20,  0.10,          ---     *  |-------            ,  0.02,  0.47
