#
 0,           exploit,20,  0.00,  0.13, *    -------        |                   ,  0.00,  0.31
 0,           exploit,25,  0.00,  0.13, *    ----           |                   ,  0.00,  0.28
 0,           exploit,30,  0.00,  0.00, *-                  |                   ,  0.00,  0.19
 0,           exploit,35,  0.00,  0.00, *-                  |                   ,  0.00,  0.28
 0,           exploit,40,  0.00,  0.00, *                   |                   ,  0.00,  0.00
 0,           exploit,45,  0.00,  0.00, *                   |                   ,  0.00,  0.09
 0,           exploit,50,  0.00,  0.00, *                   |                   ,  0.00,  0.00
 0,           exploit,55,  0.00,  0.00, *                   |                   ,  0.00,  0.00
 0,           exploit,60,  0.00,  0.00, *                   |                   ,  0.00,  0.00
#
 1,            random,35,  0.06,  0.13,   *  ----           |                   ,  0.00,  0.23
 1,            random,45,  0.09,  0.08, -- * ----           |                   ,  0.00,  0.29
 1,            random,55,  0.09,  0.07, -- * ----           |                   ,  0.00,  0.22
 1,            random,60,  0.09,  0.04, ---* ----           |                   ,  0.00,  0.23
 1,            random,20,  0.14,  0.15, -----*     --       |                   ,  0.00,  0.35
 1,            random,25,  0.14,  0.15, -----*     -        |                   ,  0.00,  0.31
 1,            random,40,  0.14,  0.13,   -  *   -          |                   ,  0.00,  0.28
 1,            random,50,  0.19,  0.16, --     *            |                   ,  0.00,  0.23
#
 2,            random,30,  0.22,  0.19, ---      * -        |                   ,  0.00,  0.33
#
 3,         baseline,206,  0.56,  0.23,             ------  |  *    -----       ,  0.00,  0.95
