#
 0,           exploit,55,  0.05,  0.00, -----*-             |                   ,  0.00,  0.23
 0,           exploit,40,  0.05,  0.00,      *              |                   ,  0.00,  0.09
 0,           exploit,60,  0.05,  0.01, -----*-             |                   ,  0.00,  0.07
 0,           exploit,35,  0.05,  0.01,      *-             |                   ,  0.00,  0.17
 0,           exploit,25,  0.05,  0.01, -----*---           |                   ,  0.00,  0.23
 0,           exploit,45,  0.05,  0.01,      *-             |                   ,  0.00,  0.12
 0,           exploit,50,  0.05,  0.01,      *------        |                   ,  0.00,  0.12
#
 1,            random,60,  0.05,  0.01,     -*-             |                   ,  0.00,  0.07
 1,            random,45,  0.06,  0.01,       *---          |                   ,  0.04,  0.10
 1,           exploit,30,  0.06,  0.02,     - *-------------|-                  ,  0.00,  0.24
#
 2,            random,50,  0.06,  0.01,      -*--           |                   ,  0.04,  0.09
#
 3,           exploit,20,  0.06,  0.02,       *------       |                   ,  0.00,  0.15
 3,            random,40,  0.07,  0.01,      - *-           |                   ,  0.00,  0.10
 3,            random,55,  0.07,  0.02,        *            |                   ,  0.04,  0.09
#
 4,            random,25,  0.07,  0.02,        *--          |                   ,  0.04,  0.12
 4,            random,30,  0.07,  0.01,        *-           |                   ,  0.05,  0.10
 4,            random,35,  0.07,  0.01,       -*-           |                   ,  0.05,  0.11
#
 5,            random,20,  0.08,  0.02,       -*--          |                   ,  0.06,  0.15
#
 6,        baseline,1512,  0.13,  0.07,          --  *    --|--------           ,  0.00,  0.38
