#
 0,           exploit,60,  0.32,  0.03, * -                 |                   ,  0.32,  0.39
#
 1,           exploit,45,  0.35,  0.08,   *                 |                   ,  0.32,  0.42
 1,           exploit,30,  0.35,  0.08,   *   ---           |                   ,  0.32,  0.45
#
 2,            random,55,  0.35,  0.05,   * -               |                   ,  0.32,  0.40
 2,           exploit,55,  0.35,  0.06,   * -               |                   ,  0.32,  0.40
 2,           EXPLORE,55,  0.35,  0.10,   *      -----      |                   ,  0.32,  0.52
 2,            random,60,  0.35,  0.03, --* --              |                   ,  0.32,  0.41
 2,           EXPLORE,60,  0.35,  0.02,   *------           |                   ,  0.32,  0.45
 2,           exploit,25,  0.37,  0.08,    *  --            |                   ,  0.32,  0.45
 2,            random,45,  0.37,  0.03, -- *-               |                   ,  0.32,  0.40
 2,           EXPLORE,20,  0.37,  0.07,    *   -------      |                   ,  0.32,  0.52
 2,            random,25,  0.37,  0.06, -- *  ---           |                   ,  0.32,  0.45
 2,            random,35,  0.37,  0.03,    *--              |                   ,  0.32,  0.45
 2,           EXPLORE,35,  0.37,  0.03, -- *-----           |                   ,  0.32,  0.46
 2,            random,40,  0.37,  0.03, -- *--              |                   ,  0.32,  0.42
 2,            random,50,  0.37,  0.03, -- *                |                   ,  0.32,  0.40
 2,           exploit,50,  0.37,  0.08,    *                |                   ,  0.32,  0.45
#
 3,           EXPLORE,50,  0.37,  0.05,    *  ---           |                   ,  0.32,  0.49
 3,           EXPLORE,45,  0.37,  0.06, --  * ----          |                   ,  0.32,  0.46
 3,           exploit,40,  0.38,  0.05, --  *               |                   ,  0.32,  0.40
#
 4,           EXPLORE,40,  0.38,  0.06,   --*   -           |                   ,  0.35,  0.47
 4,            random,30,  0.38,  0.02, --- *---            |                   ,  0.32,  0.45
 4,           exploit,20,  0.40,  0.06, --    *-            |                   ,  0.32,  0.44
 4,           exploit,35,  0.40,  0.05, --    *             |                   ,  0.32,  0.40
#
 5,           EXPLORE,30,  0.41,  0.07, ----  *   -         |                   ,  0.32,  0.49
 5,           EXPLORE,25,  0.41,  0.08,   -    * -          |                   ,  0.32,  0.46
 5,            random,20,  0.42,  0.09,        * -          |                   ,  0.32,  0.46
#
 6,                rrp,9,  0.46,  0.02,        -- *---------|-------            ,  0.37,  0.70
#
 7,         baseline,196,  0.53,  0.09,         -----  *   -|-------            ,  0.32,  0.86
