#
 0,            random,45,  0.14,  0.04, *  ----             |                   ,  0.12,  0.29
#
 1,           exploit,35,  0.15,  0.10,  *    ---           |                   ,  0.12,  0.27
 1,            random,55,  0.15,  0.05,   * --              |                   ,  0.12,  0.22
 1,            random,60,  0.18,  0.07, -  *  -             |                   ,  0.12,  0.24
 1,           exploit,55,  0.18,  0.09,    *  --            |                   ,  0.12,  0.27
#
 2,            random,35,  0.19,  0.05, --- * -             |                   ,  0.12,  0.27
 2,            random,50,  0.19,  0.03, --- *-              |                   ,  0.12,  0.23
 2,            random,30,  0.19,  0.04,     * ----          |                   ,  0.15,  0.29
 2,            random,40,  0.19,  0.08, -   * --            |                   ,  0.12,  0.25
 2,           exploit,30,  0.19,  0.04, --- * ---           |                   ,  0.12,  0.28
 2,           exploit,40,  0.19,  0.08,     * ---           |                   ,  0.12,  0.28
 2,           exploit,45,  0.19,  0.04, ----*  -----        |                   ,  0.12,  0.34
 2,           exploit,50,  0.19,  0.07,     *-----          |                   ,  0.12,  0.30
#
 3,           exploit,60,  0.19,  0.00, ----*----           |                   ,  0.12,  0.27
 3,           exploit,25,  0.21,  0.05, ---  * ----         |                   ,  0.12,  0.31
 3,            random,25,  0.22,  0.08, --    * --          |                   ,  0.12,  0.29
#
 4,            random,20,  0.22,  0.03,     --* ---         |                   ,  0.12,  0.32
 4,           exploit,20,  0.23,  0.13,        * ---        |                   ,  0.12,  0.34
#
 5,         baseline,756,  0.39,  0.18,           ----    * |     ------------- ,  0.12,  0.71
