#
 0,           exploit,35,  0.37,  0.10,  *                  |                   ,  0.35,  0.45
 0,            random,40,  0.37,  0.04,  * ---              |                   ,  0.35,  0.45
 0,            random,45,  0.37,  0.04, -*                  |                   ,  0.35,  0.46
 0,            random,55,  0.37,  0.04,  * --               |                   ,  0.35,  0.43
 0,            random,60,  0.37,  0.05,  * -                |                   ,  0.35,  0.42
 0,            random,30,  0.38,  0.07,   *  -              |                   ,  0.35,  0.46
 0,           exploit,40,  0.38,  0.09,   *                 |                   ,  0.35,  0.45
 0,            random,50,  0.38,  0.04,   *-                |                   ,  0.35,  0.42
 0,           exploit,50,  0.38,  0.10,   *                 |                   ,  0.35,  0.45
#
 1,            random,35,  0.39,  0.02, -- *-               |                   ,  0.35,  0.42
 1,           exploit,45,  0.39,  0.10,    *                |                   ,  0.35,  0.45
 1,            random,20,  0.40,  0.04, -  *----            |                   ,  0.35,  0.46
 1,           exploit,60,  0.40,  0.10,    *                |                   ,  0.35,  0.45
 1,            random,25,  0.40,  0.05, -  * --             |                   ,  0.35,  0.47
 1,           exploit,30,  0.41,  0.09,      *              |                   ,  0.35,  0.48
#
 2,           exploit,55,  0.41,  0.10,      *              |                   ,  0.35,  0.45
 2,           exploit,25,  0.42,  0.06, ---  *              |                   ,  0.35,  0.51
#
 3,           exploit,20,  0.43,  0.08, -     *             |                   ,  0.35,  0.46
#
 4,         baseline,196,  0.53,  0.11,        -----  *     |-----              ,  0.35,  0.88
