#
 0,           exploit,35,  0.35,  0.10,  *                  |                   ,  0.33,  0.44
 0,            random,40,  0.35,  0.08,  *   --             |                   ,  0.33,  0.45
 0,            random,45,  0.35,  0.03, -*---               |                   ,  0.33,  0.43
 0,           exploit,45,  0.35,  0.10,  *                  |                   ,  0.33,  0.44
 0,            random,55,  0.35,  0.04, -* -                |                   ,  0.33,  0.44
 0,           exploit,55,  0.35,  0.10,  *                  |                   ,  0.33,  0.43
 0,            random,60,  0.35,  0.03, -*-                 |                   ,  0.33,  0.39
 0,            random,50,  0.38,  0.04, - *--               |                   ,  0.33,  0.42
 0,            random,20,  0.39,  0.07, -  *  -             |                   ,  0.33,  0.47
 0,            random,30,  0.39,  0.06, -  * --             |                   ,  0.33,  0.45
#
 1,            random,35,  0.39,  0.01,  - *--              |                   ,  0.33,  0.44
 1,           exploit,30,  0.39,  0.08, -  *                |                   ,  0.33,  0.46
 1,           exploit,40,  0.39,  0.10,    *                |                   ,  0.33,  0.43
 1,           exploit,60,  0.39,  0.10,    *                |                   ,  0.33,  0.43
 1,           exploit,50,  0.40,  0.10,     *               |                   ,  0.33,  0.43
 1,           exploit,20,  0.41,  0.08, -    *              |                   ,  0.33,  0.45
#
 2,            random,25,  0.41,  0.08,      *-             |                   ,  0.33,  0.46
 2,           exploit,25,  0.43,  0.08, -     *             |                   ,  0.33,  0.44
#
 3,         baseline,196,  0.54,  0.14,        ----  *      |---                ,  0.33,  0.93
