#
 0,           exploit,25,  0.23,  0.00, *---------          |                   ,  0.23,  0.45
 0,           exploit,30,  0.23,  0.00, *-------------------|----               ,  0.23,  0.70
 0,           exploit,35,  0.23,  0.00, *                   |                   ,  0.23,  0.70
 0,           exploit,40,  0.23,  0.00, *---------          |                   ,  0.23,  0.70
 0,           exploit,45,  0.23,  0.00, *                   |                   ,  0.23,  0.23
 0,           exploit,50,  0.23,  0.00, *                   |                   ,  0.23,  0.23
 0,           exploit,55,  0.23,  0.00, *                   |                   ,  0.23,  0.61
 0,           exploit,60,  0.23,  0.00, *                   |                   ,  0.23,  0.23
 0,           exploit,20,  0.23,  0.19, *         ----------|----               ,  0.23,  0.75
#
 1,            random,45,  0.23,  0.15, *       --          |                   ,  0.23,  0.48
 1,            random,50,  0.23,  0.09, *   ----            |                   ,  0.23,  0.42
 1,            random,60,  0.23,  0.09, *                   |                   ,  0.23,  0.39
 1,            random,55,  0.31,  0.09,     *---            |                   ,  0.23,  0.39
#
 2,            random,25,  0.31,  0.06, ----*   --          |                   ,  0.23,  0.51
#
 3,            random,35,  0.31,  0.15,     *               |                   ,  0.23,  0.45
 3,            random,40,  0.31,  0.15,     *   ----        |                   ,  0.23,  0.48
#
 4,            random,20,  0.38,  0.13, ----    *  -        |                   ,  0.23,  0.50
 4,            random,30,  0.38,  0.07, ----    *---        |                   ,  0.23,  0.48
#
 5,         baseline,259,  0.72,  0.16,             --------|     *  ---------- ,  0.23,  0.97
