#
 0,           exploit,50,  0.00,  0.00, *-----------        |                   ,  0.00,  0.24
 0,           exploit,55,  0.00,  0.23, *                   |                   ,  0.00,  0.24
 0,           exploit,60,  0.00,  0.00, *-----------        |                   ,  0.00,  0.27
 0,           exploit,45,  0.00,  0.23, *                   |                   ,  0.00,  0.24
 0,           exploit,25,  0.00,  0.20, *         ---       |                   ,  0.00,  0.26
 0,           exploit,35,  0.00,  0.04, * -----------       |                   ,  0.00,  0.28
 0,            random,60,  0.02,  0.03,  *                  |                   ,  0.00,  0.24
#
 1,           exploit,40,  0.02,  0.23,  *                  |                   ,  0.00,  0.24
 1,            random,40,  0.02,  0.15,  *      -----       |                   ,  0.00,  0.25
 1,            random,50,  0.03,  0.03,  *------            |                   ,  0.00,  0.16
 1,            random,55,  0.04,  0.04,   *-----            |                   ,  0.00,  0.22
 1,            random,35,  0.05,  0.19, - *        --       |                   ,  0.00,  0.24
 1,            random,20,  0.07,  0.21, -  *         -      |                   ,  0.00,  0.30
#
 2,            random,45,  0.12,  0.18, --    *    --       |                   ,  0.00,  0.27
 2,            random,30,  0.14,  0.21, -      *    -       |                   ,  0.00,  0.28
 2,            random,25,  0.15,  0.21,        *    -       |                   ,  0.00,  0.26
 2,           exploit,30,  0.20,  0.23,           *         |                   ,  0.00,  0.25
 2,           exploit,20,  0.21,  0.23,            *--      |                   ,  0.00,  0.29
#
 3,        baseline,1080,  0.33,  0.09,            ----  *  |-----              ,  0.00,  0.75
