#
 0,           exploit,60,  0.03,  0.01, *                   |                   ,  0.02,  0.06
#
 1,           exploit,55,  0.04,  0.00,  *                  |                   ,  0.03,  0.18
 1,           exploit,45,  0.04,  0.01,  *                  |                   ,  0.02,  0.07
 1,           exploit,50,  0.04,  0.01, -*------            |                   ,  0.02,  0.58
 1,           exploit,40,  0.05,  0.01, -*                  |                   ,  0.03,  0.06
 1,           exploit,35,  0.05,  0.02,  *----------        |                   ,  0.04,  0.58
#
 2,           exploit,30,  0.05,  0.02, -*-------------     |                   ,  0.02,  0.58
 2,           exploit,25,  0.05,  0.02, -*--------          |                   ,  0.04,  0.21
 2,            random,50,  0.06,  0.02,   *                 |                   ,  0.04,  0.10
 2,            random,55,  0.06,  0.01,   *-                |                   ,  0.04,  0.10
 2,            random,30,  0.07,  0.02,   *--               |                   ,  0.04,  0.18
 2,            random,40,  0.07,  0.03,  -*-                |                   ,  0.04,  0.30
 2,            random,60,  0.07,  0.03,  -*-                |                   ,  0.04,  0.13
 2,            random,45,  0.07,  0.02,  -*-                |                   ,  0.04,  0.10
 2,           exploit,20,  0.07,  0.13,   *      ------     |                   ,  0.04,  0.47
 2,            random,20,  0.08,  0.16,  - *        ---     |                   ,  0.04,  0.34
 2,            random,25,  0.08,  0.02,  - *--------        |                   ,  0.02,  0.25
 2,            random,35,  0.08,  0.03,  - *                |                   ,  0.04,  0.10
#
 3,        baseline,3840,  0.60,  0.03,                     |            *----- ,  0.56,  0.71
