#
 0,           exploit,50,  0.07,  0.07,    * ---------------|                   ,  0.03,  0.43
 0,           exploit,55,  0.07,  0.07,    * ------------   |                   ,  0.02,  0.31
#
 1,           exploit,60,  0.08,  0.06,  - * -------------  |                   ,  0.01,  0.34
 1,           exploit,25,  0.08,  0.10,  - *   -------------|                   ,  0.03,  0.38
 1,           exploit,45,  0.08,  0.19,    *         ----   |                   ,  0.01,  0.33
 1,           exploit,35,  0.10,  0.17,     *      -------  |                   ,  0.01,  0.51
 1,           exploit,40,  0.10,  0.18,  -   *      ------  |                   ,  0.03,  0.34
 1,            random,35,  0.11,  0.14, ---  *     ---      |                   ,  0.01,  0.30
 1,            random,55,  0.11,  0.08,  --  * -----        |                   ,  0.01,  0.24
 1,            random,60,  0.11,  0.09, --   * --           |                   ,  0.01,  0.23
 1,            random,40,  0.11,  0.06,  --  *-----         |                   ,  0.01,  0.23
 1,            random,50,  0.11,  0.03,  ----*----          |                   ,  0.01,  0.21
 1,            random,45,  0.11,  0.08,   -  *  -----       |                   ,  0.01,  0.29
 1,           exploit,30,  0.11,  0.12,   -  *    -------   |                   ,  0.01,  0.38
#
 2,           exploit,20,  0.12,  0.02,    --*--------      |                   ,  0.05,  0.54
#
 3,            random,30,  0.14,  0.06,   ---  *---         |                   ,  0.02,  0.28
 3,            random,25,  0.15,  0.07,     -   *------     |                   ,  0.05,  0.30
#
 4,            random,20,  0.17,  0.13,      -- *     ----- |                   ,  0.08,  0.38
#
 5,           EXPLORE,25,  0.25,  0.16,      --      *   ---|                   ,  0.06,  0.39
 5,           EXPLORE,55,  0.26,  0.13,      ----     *  ---|--                 ,  0.03,  0.50
 5,           EXPLORE,35,  0.27,  0.21,  ----         *  ---|-                  ,  0.02,  0.50
 5,           EXPLORE,50,  0.28,  0.19,    ----        *  --|                   ,  0.03,  0.41
#
 6,               rrp,12,  0.30,  0.16,      ----       * --|-----------        ,  0.05,  0.70
 6,           EXPLORE,60,  0.30,  0.07,      --------   *---|------             ,  0.05,  0.50
 6,           EXPLORE,45,  0.32,  0.11,      --------    * -|-                  ,  0.08,  0.49
 6,           EXPLORE,30,  0.32,  0.22,   ------         *  |--                 ,  0.03,  0.52
 6,           EXPLORE,20,  0.33,  0.12,    -----------    * |----               ,  0.04,  0.50
 6,           EXPLORE,40,  0.35,  0.12,         -----      *|------             ,  0.08,  0.50
#
 7,        baseline,2880,  0.67,  0.03,                     |             -- *- ,  0.43,  0.71
