#
 0,    exploit/True/1,35,  0.16,  0.00, *-------------      |                   ,  0.16,  0.45
 0,    exploit/True/1,40,  0.16,  0.00, *                   |                   ,  0.16,  0.17
 0,    exploit/True/1,30,  0.16,  0.00, *                   |                   ,  0.16,  0.19
 0,    exploit/True/1,25,  0.16,  0.02, *------------       |                   ,  0.16,  0.46
 0,  exploit/True/0.9,30,  0.16,  0.01, *                   |                   ,  0.16,  0.20
 0,  exploit/True/0.9,35,  0.16,  0.01, *                   |                   ,  0.16,  0.20
 0,    exploit/True/1,20,  0.16,  0.01, *                   |                   ,  0.16,  0.18
 0,  exploit/True/0.9,25,  0.16,  0.01, *----------         |                   ,  0.16,  0.36
 0,  exploit/True/0.8,35,  0.17,  0.01, *-                  |                   ,  0.16,  0.20
 0,  exploit/True/0.9,40,  0.17,  0.01, *                   |                   ,  0.16,  0.19
 0,  exploit/True/0.8,25,  0.17,  0.01, *-                  |                   ,  0.16,  0.39
 0,  exploit/True/0.8,30,  0.17,  0.02, *                   |                   ,  0.16,  0.19
 0,  exploit/True/0.8,40,  0.17,  0.02, *--                 |                   ,  0.16,  0.39
 0,  exploit/True/0.7,35,  0.17,  0.02, *-                  |                   ,  0.16,  0.38
 0,    exploit/True/1,15,  0.18,  0.03,  *------------      |                   ,  0.16,  0.53
 0,  exploit/True/0.8,20,  0.18,  0.02,  *---------         |                   ,  0.16,  0.39
 0,  exploit/True/0.6,20,  0.18,  0.03,  *--------------    |                   ,  0.16,  0.51
 0,  exploit/True/0.7,30,  0.18,  0.02,  *                  |                   ,  0.16,  0.39
 0,  exploit/True/0.6,35,  0.18,  0.02,  *------------      |                   ,  0.16,  0.41
 0,  exploit/True/0.7,20,  0.18,  0.03,  *-----------       |                   ,  0.16,  0.41
 0,  exploit/True/0.7,25,  0.18,  0.02,  *----------        |                   ,  0.16,  0.38
 0,  exploit/True/0.7,40,  0.18,  0.02,  *------------      |                   ,  0.16,  0.42
 0,  exploit/True/0.6,25,  0.18,  0.03,  *-----------       |                   ,  0.16,  0.39
 0,  exploit/True/0.9,15,  0.18,  0.02, -*---------------   |                   ,  0.16,  0.50
 0,  exploit/True/0.9,20,  0.18,  0.03,  *                  |                   ,  0.16,  0.39
 0,  exploit/True/0.6,30,  0.18,  0.04,  * -----------      |                   ,  0.16,  0.43
 0,            random,40,  0.18,  0.01, -*                  |                   ,  0.16,  0.21
 0,            random,35,  0.19,  0.02, -*------------      |                   ,  0.16,  0.41
 0,  exploit/True/0.8,15,  0.19,  0.04,  * -----------      |                   ,  0.16,  0.46
 0,  exploit/True/0.7,15,  0.19,  0.03,  *---------------   |                   ,  0.16,  0.46
 0,            random,30,  0.19,  0.02, -*-                 |                   ,  0.16,  0.23
 0,            random,25,  0.19,  0.03, - *---------        |                   ,  0.16,  0.39
 0,  exploit/True/0.6,15,  0.20,  0.03, - *-----------      |                   ,  0.16,  0.42
 0,  exploit/True/0.6,40,  0.20,  0.20, - *         ------  |                   ,  0.16,  0.50
 0,            random,20,  0.20,  0.02,  -*-----------      |                   ,  0.17,  0.40
 0,            random,15,  0.21,  0.18,  -*         -       |                   ,  0.16,  0.61
#
 1,        baseline,1023,  0.65,  0.30,    -------------    |        *    ---   ,  0.16,  0.83
