#
 0,           exploit,35,  0.00,  0.00, *                   |                   ,  0.00,  0.00
 0,           exploit,50,  0.00,  0.00, *                   |                   ,  0.00,  0.00
 0,           exploit,55,  0.00,  0.00, *                   |                   ,  0.00,  0.00
 0,           exploit,60,  0.00,  0.00, *                   |                   ,  0.00,  0.00
#
 1,           exploit,25,  0.00,  0.00, *                   |                   ,  0.00,  0.00
 1,           exploit,30,  0.00,  0.00, *                   |                   ,  0.00,  0.10
 1,           exploit,40,  0.00,  0.00, *                   |                   ,  0.00,  0.02
#
 2,           exploit,45,  0.00,  0.00, *                   |                   ,  0.00,  0.00
#
 3,           exploit,20,  0.00,  0.00, *--                 |                   ,  0.00,  0.10
 3,            random,50,  0.00,  0.00, *                   |                   ,  0.00,  0.01
#
 4,            random,40,  0.00,  0.00, *                   |                   ,  0.00,  0.01
 4,            random,55,  0.00,  0.00, *                   |                   ,  0.00,  0.01
 4,            random,60,  0.00,  0.00, *                   |                   ,  0.00,  0.01
#
 5,            random,45,  0.00,  0.00, *                   |                   ,  0.00,  0.01
 5,            random,25,  0.00,  0.00, *                   |                   ,  0.00,  0.02
 5,            random,30,  0.00,  0.00, *                   |                   ,  0.00,  0.01
 5,            random,35,  0.00,  0.00, *                   |                   ,  0.00,  0.05
 5,            random,20,  0.01,  0.00, *                   |                   ,  0.00,  0.01
 5,         baseline,864,  0.12,  0.21, ----*        -------|----------------   ,  0.00,  0.97
