#
 0,            random,55,  0.12,  0.04,      - * --         |                   ,  0.03,  0.18
 0,            random,45,  0.13,  0.02,    --- *-----       |                   ,  0.05,  0.20
#
 1,            random,40,  0.14,  0.04,      ---*  --       |                   ,  0.07,  0.20
 1,           EXPLORE,45,  0.15,  0.07,     --   *  --      |                   ,  0.05,  0.25
 1,            random,60,  0.15,  0.04,       -  *--        |                   ,  0.09,  0.19
 1,            random,50,  0.15,  0.04,       -  * --       |                   ,  0.10,  0.20
 1,           EXPLORE,50,  0.15,  0.05,      --  * --       |                   ,  0.03,  0.22
#
 2,            random,35,  0.16,  0.05,        -  * -       |                   ,  0.05,  0.20
 2,            random,25,  0.16,  0.05,      --   *-        |                   ,  0.09,  0.19
 2,               rrp,17,  0.16,  0.11,      --   *     --- |                   ,  0.03,  0.29
 2,            random,30,  0.17,  0.06,       -   * -       |                   ,  0.10,  0.20
 2,           EXPLORE,35,  0.17,  0.06,       -    *-       |                   ,  0.10,  0.20
 2,           exploit,35,  0.18,  0.03,        --   *       |                   ,  0.08,  0.20
 2,           exploit,45,  0.18,  0.06,     ---     *       |                   ,  0.08,  0.18
#
 3,           exploit,60,  0.18,  0.00,      -------*       |                   ,  0.05,  0.19
 3,           EXPLORE,60,  0.18,  0.04,     -----   *-      |                   ,  0.03,  0.22
 3,           exploit,50,  0.18,  0.01,        ---- *       |                   ,  0.12,  0.19
 3,           exploit,55,  0.18,  0.00,        -----*       |                   ,  0.10,  0.18
 3,           exploit,40,  0.18,  0.02,        ---  *       |                   ,  0.10,  0.21
 3,           exploit,30,  0.18,  0.05,       -     *       |                   ,  0.05,  0.19
 3,           EXPLORE,30,  0.18,  0.03,     ------  *       |                   ,  0.07,  0.26
 3,           exploit,25,  0.18,  0.03,       ---   *       |                   ,  0.05,  0.25
#
 4,           exploit,20,  0.18,  0.02,      -----  *       |                   ,  0.05,  0.20
 4,           EXPLORE,25,  0.18,  0.05,       ---   *---    |                   ,  0.10,  0.27
 4,           EXPLORE,55,  0.18,  0.03,       ----  *       |                   ,  0.05,  0.21
 4,           EXPLORE,40,  0.19,  0.04,       ----  *-      |                   ,  0.09,  0.23
 4,            random,20,  0.19,  0.03,       ----  *       |                   ,  0.06,  0.20
 4,           EXPLORE,20,  0.19,  0.01,      ------- *      |                   ,  0.08,  0.26
#
 5,       baseline,53662,  0.28,  0.06,                  --*|   -----           ,  0.12,  0.53
