#
 0,           exploit,55,  0.14,  0.04,  *-                 |                   ,  0.12,  0.21
 0,           exploit,40,  0.14,  0.04,  *-                 |                   ,  0.12,  0.19
 0,           exploit,30,  0.15,  0.03, -*---               |                   ,  0.12,  0.25
 0,           exploit,60,  0.15,  0.03,  *                  |                   ,  0.12,  0.18
 0,           exploit,50,  0.15,  0.04,  *-                 |                   ,  0.12,  0.22
 0,            random,40,  0.16,  0.04, -*---               |                   ,  0.12,  0.25
 0,           exploit,45,  0.16,  0.03, -*--                |                   ,  0.12,  0.23
 0,            random,60,  0.16,  0.03, -*-                 |                   ,  0.12,  0.20
#
 1,            random,50,  0.16,  0.02,   *                 |                   ,  0.12,  0.20
 1,           exploit,35,  0.17,  0.04, - *--               |                   ,  0.12,  0.24
 1,           exploit,20,  0.17,  0.04,   *--               |                   ,  0.13,  0.26
#
 2,           EXPLORE,35,  0.17,  0.05,   * --              |                   ,  0.12,  0.26
 2,            random,55,  0.17,  0.03, - *-                |                   ,  0.12,  0.30
 2,           EXPLORE,55,  0.17,  0.05,   * --              |                   ,  0.12,  0.28
 2,            random,45,  0.17,  0.03, - *-                |                   ,  0.12,  0.26
 2,           EXPLORE,45,  0.17,  0.02, --*--               |                   ,  0.12,  0.25
 2,           EXPLORE,60,  0.17,  0.05,   * -               |                   ,  0.12,  0.24
 2,            random,30,  0.18,  0.04,   * ---             |                   ,  0.14,  0.29
 2,           EXPLORE,50,  0.18,  0.04,  -* -               |                   ,  0.12,  0.27
 2,            random,20,  0.18,  0.03, --*--               |                   ,  0.12,  0.28
 2,            random,35,  0.18,  0.07, - * --              |                   ,  0.12,  0.32
 2,           EXPLORE,40,  0.18,  0.05,   *---              |                   ,  0.12,  0.27
 2,            random,25,  0.18,  0.06, -- * -              |                   ,  0.12,  0.26
#
 3,           exploit,25,  0.18,  0.08, -  * -              |                   ,  0.12,  0.26
 3,           EXPLORE,30,  0.19,  0.04,  - *--              |                   ,  0.12,  0.32
#
 4,           EXPLORE,20,  0.21,  0.04,   - *----           |                   ,  0.13,  0.32
#
 5,           EXPLORE,25,  0.21,  0.05,  -  *-              |                   ,  0.12,  0.27
#
 6,               rrp,11,  0.25,  0.06,  ---- * --          |                   ,  0.12,  0.58
#
 7,         baseline,972,  0.42,  0.10,          ---  *  ---|--                 ,  0.21,  0.93
