#
 0,           exploit,35,  0.16,  0.00, *                   |                   ,  0.16,  0.19
 0,           exploit,40,  0.16,  0.00, *                   |                   ,  0.16,  0.17
 0,           EXPLORE,40,  0.16,  0.00, *                   |                   ,  0.16,  0.18
 0,           exploit,45,  0.16,  0.00, *                   |                   ,  0.16,  0.18
 0,           EXPLORE,45,  0.16,  0.00, *                   |                   ,  0.16,  0.17
 0,           EXPLORE,50,  0.16,  0.00, *                   |                   ,  0.16,  0.16
 0,           exploit,55,  0.16,  0.00, *                   |                   ,  0.16,  0.16
 0,           EXPLORE,55,  0.16,  0.00, *                   |                   ,  0.16,  0.18
 0,           exploit,60,  0.16,  0.00, *                   |                   ,  0.16,  0.16
 0,           EXPLORE,60,  0.16,  0.00, *                   |                   ,  0.16,  0.16
 0,           exploit,30,  0.16,  0.01, *                   |                   ,  0.16,  0.48
 0,           exploit,50,  0.16,  0.00, *                   |                   ,  0.16,  0.18
#
 1,           EXPLORE,25,  0.16,  0.01, *                   |                   ,  0.16,  0.39
#
 2,           EXPLORE,35,  0.16,  0.01, *                   |                   ,  0.16,  0.18
#
 3,           exploit,20,  0.16,  0.01, *                   |                   ,  0.16,  0.38
 3,           EXPLORE,30,  0.16,  0.01, *                   |                   ,  0.16,  0.18
#
 4,           EXPLORE,20,  0.16,  0.02, *-                  |                   ,  0.16,  0.48
#
 5,           exploit,25,  0.16,  0.02, *                   |                   ,  0.16,  0.18
 5,            random,55,  0.18,  0.02,  *                  |                   ,  0.16,  0.22
 5,            random,50,  0.18,  0.01, -*                  |                   ,  0.16,  0.21
 5,            random,45,  0.18,  0.02, -*-                 |                   ,  0.16,  0.23
 5,            random,60,  0.19,  0.02, -*-                 |                   ,  0.16,  0.21
 5,            random,25,  0.19,  0.03, - *-----------      |                   ,  0.16,  0.49
 5,            random,35,  0.19,  0.02, - *---------        |                   ,  0.16,  0.39
 5,               rrp,11,  0.19,  0.02,   *-----------------|-                  ,  0.16,  0.53
 5,            random,40,  0.20,  0.03, - *-----------      |                   ,  0.16,  0.41
 5,            random,30,  0.20,  0.01, - *-----------      |                   ,  0.16,  0.42
 5,            random,20,  0.20,  0.02,   *------------     |                   ,  0.16,  0.43
#
 6,        baseline,1023,  0.65,  0.30,    -------------    |        *    ---   ,  0.16,  0.83
