#
 0,    exploit/True/1,40,  0.05,  0.06, *   --              |                   ,  0.04,  0.16
 0,    exploit/True/1,30,  0.05,  0.05, *  ----             |                   ,  0.04,  0.15
 0,    exploit/True/1,35,  0.05,  0.05, *   -               |                   ,  0.05,  0.14
 0,  exploit/True/0.8,35,  0.06,  0.00, *-                  |                   ,  0.05,  0.08
 0,            random,30,  0.06,  0.01, *----               |                   ,  0.05,  0.13
 0,  exploit/True/0.8,30,  0.06,  0.01, *----               |                   ,  0.04,  0.13
 0,  exploit/True/0.8,40,  0.06,  0.01, *----               |                   ,  0.05,  0.12
 0,    exploit/True/1,20,  0.06,  0.08, *     ---           |                   ,  0.05,  0.18
 0,  exploit/True/0.9,20,  0.06,  0.05, *   --              |                   ,  0.04,  0.14
 0,  exploit/True/0.7,25,  0.06,  0.01,  *                  |                   ,  0.05,  0.16
 0,            random,35,  0.06,  0.01,  *                  |                   ,  0.04,  0.14
 0,  exploit/True/0.7,35,  0.06,  0.06,  *  ---             |                   ,  0.05,  0.18
 0,            random,40,  0.06,  0.01,  *                  |                   ,  0.05,  0.10
 0,  exploit/True/0.9,25,  0.06,  0.04,  * --               |                   ,  0.04,  0.12
 0,  exploit/True/0.7,15,  0.06,  0.07,  *    ---           |                   ,  0.05,  0.18
 0,  exploit/True/0.9,35,  0.06,  0.06,  *  -               |                   ,  0.04,  0.14
 0,  exploit/True/0.9,40,  0.06,  0.02,  *---               |                   ,  0.05,  0.14
 0,    exploit/True/1,25,  0.06,  0.07,  *   ---            |                   ,  0.04,  0.18
 0,  exploit/True/0.7,20,  0.06,  0.02,  *-----             |                   ,  0.04,  0.15
 0,  exploit/True/0.6,15,  0.06,  0.03, -*------            |                   ,  0.05,  0.19
 0,            random,25,  0.06,  0.01, -*                  |                   ,  0.05,  0.14
 0,  exploit/True/0.6,30,  0.06,  0.06,  *   --             |                   ,  0.05,  0.20
 0,  exploit/True/0.8,25,  0.06,  0.06,  *   --             |                   ,  0.05,  0.15
 0,            random,20,  0.06,  0.01, -*-----             |                   ,  0.05,  0.15
 0,  exploit/True/0.9,15,  0.07,  0.08,  *     --           |                   ,  0.05,  0.18
 0,  exploit/True/0.8,20,  0.07,  0.08,  *    ---           |                   ,  0.04,  0.20
 0,  exploit/True/0.6,35,  0.07,  0.07, -*    -             |                   ,  0.05,  0.17
 0,            random,15,  0.07,  0.02,  *----              |                   ,  0.04,  0.15
 0,  exploit/True/0.6,20,  0.07,  0.06, -*   ----           |                   ,  0.05,  0.18
 0,  exploit/True/0.7,30,  0.07,  0.10,  *      --          |                   ,  0.04,  0.19
 0,  exploit/True/0.7,40,  0.08,  0.06,   *  ---            |                   ,  0.04,  0.16
 0,  exploit/True/0.6,40,  0.08,  0.05, - * ---             |                   ,  0.04,  0.16
 0,  exploit/True/0.6,25,  0.08,  0.05, - *  ---            |                   ,  0.04,  0.16
 0,  exploit/True/0.9,30,  0.11,  0.09,     *  ---          |                   ,  0.05,  0.19
 0,    exploit/True/1,15,  0.12,  0.08,      * --           |                   ,  0.05,  0.18
 0,  exploit/True/0.8,15,  0.12,  0.09,      * ---          |                   ,  0.05,  0.19
#
 1,        baseline,2736,  0.17,  0.06,  -----   * ---------|---------          ,  0.04,  0.59
