#
 0,           EXPLORE,55,  0.13,  0.03,  * --               |                   ,  0.12,  0.18
#
 1,           exploit,50,  0.16,  0.01,  --*-               |                   ,  0.12,  0.18
 1,           exploit,35,  0.16,  0.01,  -- *-              |                   ,  0.13,  0.18
 1,           exploit,60,  0.16,  0.02,  -- *-              |                   ,  0.13,  0.18
 1,           exploit,45,  0.16,  0.01, --- *-              |                   ,  0.12,  0.18
 1,           EXPLORE,50,  0.17,  0.02, --- *               |                   ,  0.13,  0.19
 1,           EXPLORE,60,  0.17,  0.01,  -- *-              |                   ,  0.13,  0.19
 1,           EXPLORE,45,  0.17,  0.01, --- *               |                   ,  0.12,  0.18
 1,           exploit,55,  0.17,  0.01,  -- *               |                   ,  0.13,  0.18
 1,           exploit,30,  0.17,  0.02, --- *-              |                   ,  0.12,  0.19
#
 2,           EXPLORE,40,  0.17,  0.01,     *               |                   ,  0.13,  0.19
#
 3,           exploit,25,  0.17,  0.03,      *-------       |                   ,  0.13,  0.26
 3,           EXPLORE,35,  0.17,  0.01,      *              |                   ,  0.13,  0.20
 3,           EXPLORE,30,  0.17,  0.01,    - *              |                   ,  0.13,  0.19
 3,           exploit,40,  0.17,  0.01,     -*              |                   ,  0.16,  0.19
 3,            random,55,  0.17,  0.02,  --- *              |                   ,  0.13,  0.19
 3,            random,35,  0.18,  0.01,     -*-             |                   ,  0.13,  0.25
#
 4,            random,60,  0.18,  0.01,     -*              |                   ,  0.13,  0.21
 4,           EXPLORE,25,  0.18,  0.01,    --*-             |                   ,  0.12,  0.26
 4,            random,30,  0.18,  0.01,     -*--            |                   ,  0.16,  0.21
 4,            random,50,  0.18,  0.01,      *              |                   ,  0.17,  0.19
 4,            random,45,  0.18,  0.01,     - *             |                   ,  0.16,  0.19
#
 5,           exploit,20,  0.18,  0.02,    -  *             |                   ,  0.13,  0.27
 5,            random,40,  0.18,  0.01,  ---- *             |                   ,  0.13,  0.20
 5,           EXPLORE,20,  0.19,  0.02,       *------       |                   ,  0.16,  0.26
#
 6,            random,20,  0.19,  0.02,       *------       |                   ,  0.13,  0.30
 6,               rrp,13,  0.19,  0.03,     - * ------      |                   ,  0.13,  0.27
 6,            random,25,  0.19,  0.01,     - *----         |                   ,  0.16,  0.25
#
 7,        baseline,3008,  0.30,  0.22,              -   *  |              --   ,  0.26,  0.54
