#
 0,           exploit,55,  0.03,  0.00, *---                |                   ,  0.03,  0.08
 0,           exploit,60,  0.03,  0.02, *  ---              |                   ,  0.03,  0.07
 0,           exploit,45,  0.03,  0.00, *----               |                   ,  0.03,  0.08
 0,           exploit,50,  0.03,  0.00, *---                |                   ,  0.03,  0.06
 0,           EXPLORE,45,  0.03,  0.01, *---                |                   ,  0.03,  0.07
 0,           EXPLORE,40,  0.03,  0.00, *-                  |                   ,  0.03,  0.07
 0,           EXPLORE,30,  0.03,  0.02, * ---               |                   ,  0.03,  0.09
 0,            random,60,  0.03,  0.01, *--                 |                   ,  0.03,  0.07
 0,           exploit,30,  0.03,  0.01, *-----              |                   ,  0.03,  0.07
 0,           exploit,25,  0.03,  0.04, *    ----           |                   ,  0.03,  0.12
 0,           exploit,40,  0.03,  0.01, *----               |                   ,  0.03,  0.07
 0,           EXPLORE,55,  0.03,  0.02, *  --               |                   ,  0.03,  0.09
#
 1,           EXPLORE,50,  0.04,  0.02, *  -                |                   ,  0.03,  0.08
 1,            random,55,  0.04,  0.01, *---                |                   ,  0.03,  0.07
 1,           exploit,20,  0.04,  0.01, *---                |                   ,  0.03,  0.07
 1,            random,40,  0.04,  0.01,  *                  |                   ,  0.03,  0.06
 1,           EXPLORE,60,  0.04,  0.03,  *  -               |                   ,  0.03,  0.08
 1,           exploit,35,  0.04,  0.01,  *-                 |                   ,  0.03,  0.07
 1,           EXPLORE,35,  0.04,  0.02,  * ---              |                   ,  0.03,  0.08
 1,           EXPLORE,25,  0.04,  0.01,  *---               |                   ,  0.03,  0.07
 1,            random,35,  0.04,  0.00, -*-                 |                   ,  0.03,  0.08
#
 2,            random,45,  0.04,  0.01,  *-                 |                   ,  0.03,  0.05
 2,            random,50,  0.04,  0.01,  *-                 |                   ,  0.03,  0.06
 2,           EXPLORE,20,  0.04,  0.02,  * -----            |                   ,  0.03,  0.09
#
 3,               rrp,13,  0.04,  0.03,  *   ----           |                   ,  0.03,  0.29
 3,            random,30,  0.04,  0.02,   * --              |                   ,  0.03,  0.08
#
 4,            random,20,  0.05,  0.02,  - * --             |                   ,  0.03,  0.12
 4,            random,25,  0.06,  0.02, --  * -             |                   ,  0.03,  0.08
#
 5,        baseline,5184,  0.09,  0.03,       -- * ----     |                   ,  0.06,  0.19
