#
 0,           exploit,35,  0.23,  0.00, *                   |                   ,  0.23,  0.25
 0,           EXPLORE,40,  0.23,  0.00, *                   |                   ,  0.23,  0.24
 0,           EXPLORE,45,  0.23,  0.00, *                   |                   ,  0.23,  0.24
 0,           exploit,50,  0.23,  0.00, *                   |                   ,  0.23,  0.24
 0,           EXPLORE,50,  0.23,  0.00, *                   |                   ,  0.23,  0.24
 0,           EXPLORE,55,  0.23,  0.00, *                   |                   ,  0.23,  0.24
 0,           EXPLORE,60,  0.23,  0.00, *                   |                   ,  0.23,  0.24
 0,           exploit,45,  0.23,  0.00, *                   |                   ,  0.23,  0.24
 0,           exploit,55,  0.23,  0.00, *                   |                   ,  0.23,  0.24
#
 1,           exploit,60,  0.23,  0.00, *                   |                   ,  0.23,  0.24
 1,           exploit,40,  0.23,  0.00, *                   |                   ,  0.23,  0.24
#
 2,           exploit,25,  0.23,  0.00, *                   |                   ,  0.23,  0.25
#
 3,           EXPLORE,35,  0.23,  0.01, *                   |                   ,  0.23,  0.26
 3,           EXPLORE,30,  0.24,  0.00, *                   |                   ,  0.23,  0.25
#
 4,           EXPLORE,25,  0.24,  0.00, *                   |                   ,  0.23,  0.26
#
 5,           exploit,30,  0.24,  0.01, *-                  |                   ,  0.23,  0.27
 5,           exploit,20,  0.24,  0.01, *                   |                   ,  0.23,  0.31
 5,           EXPLORE,20,  0.24,  0.00, *-                  |                   ,  0.23,  0.27
#
 6,            random,60,  0.24,  0.01, *                   |                   ,  0.23,  0.26
 6,            random,55,  0.24,  0.01, *                   |                   ,  0.23,  0.25
 6,            random,45,  0.24,  0.01,  *                  |                   ,  0.23,  0.26
 6,            random,50,  0.25,  0.01,  *                  |                   ,  0.23,  0.25
#
 7,            random,20,  0.25,  0.01, -*                  |                   ,  0.24,  0.26
 7,            random,40,  0.25,  0.00,  *                  |                   ,  0.23,  0.26
 7,               rrp,13,  0.25,  0.01, -*---               |                   ,  0.23,  0.68
 7,            random,35,  0.25,  0.01, -*                  |                   ,  0.23,  0.27
 7,            random,25,  0.25,  0.01, -*                  |                   ,  0.24,  0.26
#
 8,            random,30,  0.25,  0.01, -*                  |                   ,  0.23,  0.28
#
 9,        baseline,4608,  0.45,  0.18,   -------         * |   --------------  ,  0.23,  0.70
