#
 0,    exploit/True/1,40,  0.03,  0.16,  *                  |                   ,  0.00,  0.20
 0,  exploit/True/0.9,40,  0.03,  0.01,  *-------           |                   ,  0.00,  0.19
 0,    exploit/True/1,25,  0.03,  0.12, -*     ---          |                   ,  0.00,  0.37
 0,    exploit/True/1,35,  0.03,  0.06,  *  ------          |                   ,  0.00,  0.21
 0,  exploit/True/0.9,35,  0.03,  0.04,  * -----            |                   ,  0.00,  0.35
 0,    exploit/True/1,30,  0.03,  0.03,  *-------           |                   ,  0.01,  0.22
 0,  exploit/True/0.8,30,  0.04,  0.05,   *------           |                   ,  0.02,  0.21
 0,  exploit/True/0.9,25,  0.04,  0.05, - *-------          |                   ,  0.02,  0.21
 0,  exploit/True/0.9,30,  0.04,  0.05,   *-------          |                   ,  0.01,  0.21
 0,  exploit/True/0.8,40,  0.04,  0.04,   *-------          |                   ,  0.02,  0.26
 0,  exploit/True/0.7,35,  0.05,  0.05,   * ------          |                   ,  0.01,  0.24
#
 1,  exploit/True/0.6,40,  0.06,  0.11,  -*    ---          |                   ,  0.02,  0.34
 1,  exploit/True/0.6,30,  0.06,  0.15,  - *      -------   |                   ,  0.02,  0.35
 1,  exploit/True/0.8,35,  0.06,  0.16,    *     -          |                   ,  0.02,  0.26
 1,  exploit/True/0.9,20,  0.07,  0.15,    *     ---        |                   ,  0.01,  0.34
 1,  exploit/True/0.7,40,  0.07,  0.15,  - *     --         |                   ,  0.02,  0.23
 1,    exploit/True/1,20,  0.07,  0.16,    *     -          |                   ,  0.01,  0.33
 1,  exploit/True/0.7,25,  0.07,  0.13,  - *    ----        |                   ,  0.02,  0.33
 1,  exploit/True/0.6,20,  0.08,  0.15, -- *     -          |                   ,  0.01,  0.22
#
 2,  exploit/True/0.6,35,  0.08,  0.13,  -- *               |                   ,  0.02,  0.25
 2,            random,35,  0.09,  0.11,   - *    ----       |                   ,  0.03,  0.27
 2,  exploit/True/0.7,15,  0.09,  0.16,  -  *     --------  |                   ,  0.00,  0.36
 2,            random,25,  0.09,  0.13,  -- *     ---       |                   ,  0.01,  0.35
 2,  exploit/True/0.8,25,  0.09,  0.15,     *    --         |                   ,  0.01,  0.35
 2,  exploit/True/0.8,20,  0.10,  0.17,      *    -         |                   ,  0.00,  0.25
 2,  exploit/True/0.7,30,  0.10,  0.19,  -   *      -       |                   ,  0.02,  0.27
 2,  exploit/True/0.6,25,  0.13,  0.19,       *   -------   |                   ,  0.02,  0.35
 2,    exploit/True/1,15,  0.17,  0.15,  -      * ---       |                   ,  0.03,  0.26
 2,            random,30,  0.17,  0.14,  --     * ---       |                   ,  0.00,  0.26
 2,            random,20,  0.17,  0.14,   -     * --------  |                   ,  0.03,  0.37
 2,  exploit/True/0.6,15,  0.18,  0.17,          *--------  |                   ,  0.02,  0.39
 2,  exploit/True/0.7,20,  0.18,  0.18,          *--        |                   ,  0.01,  0.34
#
 3,            random,40,  0.19,  0.12,   --     *-----     |                   ,  0.01,  0.32
 3,  exploit/True/0.9,15,  0.19,  0.14,  --      *--------  |                   ,  0.01,  0.39
 3,  exploit/True/0.8,15,  0.20,  0.19, -         *------   |                   ,  0.00,  0.35
 3,            random,15,  0.20,  0.13,  ---      *--       |                   ,  0.02,  0.38
#
 4,        baseline,6840,  0.40,  0.34,   --------          *       ----        ,  0.00,  0.79
