#
 0,           exploit,60,  0.24,  0.04,             - *  ---|                   ,  0.12,  0.32
 0,           exploit,45,  0.25,  0.03,         ------- * --|                   ,  0.15,  0.32
 0,           exploit,25,  0.25,  0.04,           ----- *  -|----               ,  0.09,  0.37
 0,           exploit,55,  0.25,  0.05,           ---   * - |                   ,  0.09,  0.34
 0,           exploit,50,  0.26,  0.04,              -- *  -|                   ,  0.18,  0.33
 0,           exploit,40,  0.26,  0.04,          ------  * -|--                 ,  0.09,  0.33
 0,           exploit,30,  0.27,  0.04,          -------- * |--                 ,  0.09,  0.33
 0,           exploit,35,  0.27,  0.07,         -------   * |--                 ,  0.15,  0.38
#
 1,            random,50,  0.28,  0.05,            ------- *|  ----             ,  0.13,  0.37
 1,           exploit,20,  0.29,  0.05,           ------   *|-----              ,  0.11,  0.37
 1,            random,60,  0.29,  0.07,              --     * --                ,  0.18,  0.35
 1,            random,55,  0.30,  0.02,                   --|*----              ,  0.26,  0.36
 1,            random,40,  0.30,  0.06,             ------  |*  ---             ,  0.19,  0.37
 1,            random,35,  0.31,  0.08,                -    |*  ----            ,  0.22,  0.40
 1,            random,45,  0.31,  0.06,                  -  | * --              ,  0.24,  0.39
#
 2,            random,20,  0.33,  0.05,            ---------|  * ----           ,  0.18,  0.41
 2,            random,30,  0.33,  0.05,                   --|   * ---           ,  0.18,  0.44
#
 3,            random,25,  0.34,  0.07,                    -|    *   -          ,  0.27,  0.43
 3,       baseline,65536,  0.36,  0.07,                   --|--   *   --        ,  0.09,  0.49
