#
 0,  exploit/True/0.9,35,  0.19,  0.02,               *---- |                   ,  0.16,  0.34
 0,  exploit/True/0.9,40,  0.20,  0.01,              -*     |                   ,  0.18,  0.33
 0,  exploit/True/0.7,40,  0.20,  0.01,              -*-    |                   ,  0.01,  0.36
 0,    exploit/True/1,40,  0.20,  0.01,               *     |                   ,  0.19,  0.34
 0,  exploit/True/0.9,30,  0.20,  0.02,              -*--   |                   ,  0.00,  0.27
 0,  exploit/True/0.8,30,  0.20,  0.02,               *-----|-----              ,  0.03,  0.35
 0,    exploit/True/1,20,  0.20,  0.02,               *---  |                   ,  0.19,  0.33
 0,  exploit/True/0.8,40,  0.20,  0.01,               *-    |                   ,  0.17,  0.36
 0,  exploit/True/0.9,25,  0.20,  0.03,              -* ----|-------            ,  0.07,  0.38
 0,    exploit/True/1,35,  0.20,  0.02,             --*-----|------             ,  0.03,  0.38
 0,  exploit/True/0.7,35,  0.20,  0.02,              -* -   |                   ,  0.17,  0.24
 0,  exploit/True/0.8,25,  0.20,  0.16,              - *    |     -             ,  0.00,  0.38
 0,  exploit/True/0.7,30,  0.20,  0.02,              - *--  |                   ,  0.18,  0.37
 0,  exploit/True/0.8,35,  0.20,  0.02,              - *----|----               ,  0.17,  0.38
 0,    exploit/True/1,30,  0.21,  0.02,              - *----|----               ,  0.05,  0.37
 0,    exploit/True/1,25,  0.21,  0.02,                *----|----               ,  0.18,  0.38
 0,  exploit/True/0.9,20,  0.21,  0.02,                *----|------             ,  0.13,  0.38
 0,  exploit/True/0.6,20,  0.21,  0.03,              - *----|----               ,  0.18,  0.39
 0,  exploit/True/0.7,20,  0.21,  0.14,               -*    |    --             ,  0.19,  0.38
 0,  exploit/True/0.7,25,  0.21,  0.01,               -*----|----               ,  0.19,  0.37
 0,  exploit/True/0.6,25,  0.21,  0.04,               -*  --|------             ,  0.19,  0.40
 0,  exploit/True/0.8,20,  0.21,  0.15,                *    |    --             ,  0.18,  0.37
 0,  exploit/True/0.6,40,  0.21,  0.01,               -*----|----               ,  0.18,  0.38
 0,  exploit/True/0.6,30,  0.21,  0.01,               -*----|-----              ,  0.20,  0.36
 0,    exploit/True/1,15,  0.21,  0.13,                *    |   ----            ,  0.03,  0.38
 0,  exploit/True/0.6,15,  0.22,  0.11,                 *   |   ----            ,  0.20,  0.39
 0,  exploit/True/0.6,35,  0.22,  0.06,               - *  -|-----              ,  0.00,  0.36
 0,            random,40,  0.22,  0.02,               - *-- |                   ,  0.04,  0.42
 0,            random,35,  0.23,  0.02,               -- *--|-----              ,  0.09,  0.41
 0,  exploit/True/0.8,15,  0.23,  0.17,               -  *  |      -            ,  0.19,  0.40
 0,  exploit/True/0.9,15,  0.23,  0.15,               -  *  |     ---           ,  0.20,  0.40
#
 1,            random,30,  0.23,  0.02,                - *--|                   ,  0.20,  0.33
 1,            random,25,  0.24,  0.13,                - *  |     ---           ,  0.19,  0.42
 1,            random,20,  0.24,  0.17,                   * |        --         ,  0.20,  0.42
#
 2,  exploit/True/0.7,15,  0.34,  0.15,               --    |    * --           ,  0.20,  0.40
#
 3,            random,15,  0.37,  0.14,                 --  |      * --         ,  0.21,  0.42
#
 4,       baseline,86058,  0.43,  0.06,                  ---|--------   * ---   ,  0.03,  0.54
