#
 0,           exploit,50,  0.20,  0.04, -- *-----           |                   ,  0.15,  0.30
 0,           EXPLORE,55,  0.20,  0.05,    * ----           |                   ,  0.19,  0.29
 0,           exploit,60,  0.20,  0.08, -- *   --           |                   ,  0.15,  0.30
#
 1,           exploit,40,  0.22,  0.05,    -*  --           |                   ,  0.15,  0.30
 1,           EXPLORE,50,  0.22,  0.04,   - *-----          |                   ,  0.15,  0.31
 1,           exploit,55,  0.22,  0.08, --- *   -           |                   ,  0.15,  0.30
 1,           exploit,30,  0.22,  0.09, --  *   -           |                   ,  0.15,  0.30
 1,           exploit,35,  0.22,  0.03, --- *----           |                   ,  0.15,  0.30
 1,           exploit,45,  0.22,  0.07, --- *  ---          |                   ,  0.15,  0.31
 1,            random,50,  0.22,  0.04,   --*  --           |                   ,  0.17,  0.32
 1,            random,55,  0.22,  0.06,   - *  --           |                   ,  0.15,  0.30
 1,           EXPLORE,60,  0.23,  0.07,   -  * --           |                   ,  0.17,  0.30
#
 2,           exploit,25,  0.24,  0.06,   -- *  -           |                   ,  0.15,  0.33
 2,           EXPLORE,30,  0.24,  0.06,   -- *  -           |                   ,  0.19,  0.31
 2,           EXPLORE,40,  0.24,  0.07, ---- *              |                   ,  0.15,  0.30
 2,           EXPLORE,45,  0.25,  0.08,   -   * -           |                   ,  0.19,  0.30
 2,            random,60,  0.25,  0.06,    -  * -           |                   ,  0.15,  0.30
 2,           exploit,20,  0.27,  0.11, --     * --         |                   ,  0.17,  0.35
 2,           EXPLORE,35,  0.27,  0.05,   --   *--          |                   ,  0.17,  0.31
 2,            random,45,  0.27,  0.07,    -   * -          |                   ,  0.17,  0.31
 2,            random,25,  0.28,  0.07,    -    *--         |                   ,  0.17,  0.34
 2,           EXPLORE,25,  0.28,  0.10,   -     *           |                   ,  0.15,  0.33
 2,            random,35,  0.28,  0.07,    -    *--         |                   ,  0.17,  0.36
#
 3,           EXPLORE,20,  0.29,  0.03,    ----  *          |                   ,  0.15,  0.34
 3,            random,30,  0.29,  0.07,  ---     *          |                   ,  0.17,  0.31
 3,            random,40,  0.29,  0.07,   --     *          |                   ,  0.15,  0.33
#
 4,            random,20,  0.30,  0.02,     ---- *-         |                   ,  0.19,  0.34
 4,               rrp,12,  0.30,  0.14,     -----*        --|----------         ,  0.20,  0.66
#
 5,        baseline,1599,  0.44,  0.09,          ---      *-|--                 ,  0.15,  0.76
