#
 0,           EXPLORE,30,  0.00,  0.00, *                   |                   ,  0.00,  0.01
 0,           exploit,40,  0.00,  0.00, *                   |                   ,  0.00,  0.00
 0,           EXPLORE,40,  0.00,  0.00, *                   |                   ,  0.00,  0.00
 0,           exploit,45,  0.00,  0.00, *                   |                   ,  0.00,  0.00
 0,           EXPLORE,45,  0.00,  0.00, *                   |                   ,  0.00,  0.00
 0,           exploit,50,  0.00,  0.00, *                   |                   ,  0.00,  0.00
 0,           EXPLORE,50,  0.00,  0.00, *                   |                   ,  0.00,  0.00
 0,           exploit,55,  0.00,  0.00, *                   |                   ,  0.00,  0.00
 0,           EXPLORE,55,  0.00,  0.00, *                   |                   ,  0.00,  0.00
 0,           exploit,60,  0.00,  0.00, *                   |                   ,  0.00,  0.00
 0,           EXPLORE,60,  0.00,  0.00, *                   |                   ,  0.00,  0.00
 0,           exploit,35,  0.00,  0.00, *                   |                   ,  0.00,  0.00
 0,           EXPLORE,35,  0.00,  0.00, *                   |                   ,  0.00,  0.00
 0,           exploit,25,  0.00,  0.00, *                   |                   ,  0.00,  0.02
#
 1,           exploit,20,  0.00,  0.00, *                   |                   ,  0.00,  0.03
#
 2,           EXPLORE,25,  0.00,  0.00, *                   |                   ,  0.00,  0.01
 2,           exploit,30,  0.00,  0.00, *                   |                   ,  0.00,  0.01
#
 3,           EXPLORE,20,  0.00,  0.00, *                   |                   ,  0.00,  0.02
 3,            random,60,  0.00,  0.01, *                   |                   ,  0.00,  0.02
#
 4,            random,40,  0.00,  0.01, *                   |                   ,  0.00,  0.03
#
 5,            random,55,  0.01,  0.01, *                   |                   ,  0.00,  0.04
#
 6,            random,50,  0.01,  0.01, *                   |                   ,  0.00,  0.03
 6,            random,45,  0.01,  0.01, *-                  |                   ,  0.00,  0.03
 6,            random,30,  0.01,  0.01, *-                  |                   ,  0.00,  0.04
 6,            random,35,  0.01,  0.01, *-                  |                   ,  0.00,  0.05
#
 7,               rrp,11,  0.01,  0.02, *-                  |                   ,  0.00,  0.05
#
 8,            random,25,  0.02,  0.02,  *                  |                   ,  0.00,  0.05
#
 9,            random,20,  0.03,  0.03, - *--               |                   ,  0.00,  0.07
#
10,        baseline,1152,  0.07,  0.06,  --  * -------------|-------            ,  0.00,  0.57
