#
 0,           exploit,35,  0.17,  0.02, *--                 |                   ,  0.17,  0.25
 0,           exploit,45,  0.17,  0.02, *                   |                   ,  0.17,  0.33
 0,           exploit,50,  0.17,  0.00, *                   |                   ,  0.17,  0.19
 0,           exploit,55,  0.17,  0.00, *                   |                   ,  0.17,  0.19
 0,           exploit,60,  0.17,  0.00, *                   |                   ,  0.17,  0.24
#
 1,           exploit,20,  0.19,  0.07,  * -----            |                   ,  0.17,  0.33
 1,           exploit,25,  0.19,  0.07,  * -------          |                   ,  0.17,  0.39
 1,           exploit,30,  0.19,  0.02,  *------            |                   ,  0.17,  0.32
#
 2,           exploit,40,  0.19,  0.14,  *     ----         |                   ,  0.17,  0.46
 2,           EXPLORE,60,  0.19,  0.03,  *-----             |                   ,  0.17,  0.38
#
 3,           EXPLORE,35,  0.19,  0.12, -*     --           |                   ,  0.17,  0.53
 3,           EXPLORE,55,  0.19,  0.14,  *     ----------   |                   ,  0.17,  0.49
 3,            random,45,  0.24,  0.07, -  *----            |                   ,  0.17,  0.35
 3,            random,55,  0.25,  0.07,     *----           |                   ,  0.17,  0.37
 3,            random,60,  0.25,  0.07, -   *---            |                   ,  0.17,  0.34
#
 4,            random,50,  0.25,  0.08,     *---            |                   ,  0.17,  0.35
 4,            random,35,  0.26,  0.11, -   *  ---          |                   ,  0.17,  0.39
 4,            random,40,  0.26,  0.08, --- *   -           |                   ,  0.17,  0.35
#
 5,           EXPLORE,45,  0.26,  0.08, -   *-------        |                   ,  0.17,  0.55
 5,           EXPLORE,50,  0.26,  0.11, -   *  ----         |                   ,  0.17,  0.49
 5,           EXPLORE,40,  0.27,  0.12, -    * ----         |                   ,  0.17,  0.49
#
 6,            random,25,  0.30,  0.15,       *  --         |                   ,  0.17,  0.41
#
 7,           EXPLORE,25,  0.30,  0.06,  ---  *------------ |                   ,  0.17,  0.55
 7,            random,30,  0.30,  0.05,  ----  *-           |                   ,  0.17,  0.36
 7,            random,20,  0.31,  0.07,  ---   *---         |                   ,  0.17,  0.42
 7,           EXPLORE,30,  0.31,  0.12,        *------      |                   ,  0.17,  0.52
#
 8,           EXPLORE,20,  0.31,  0.05, -----  *----        |                   ,  0.17,  0.42
#
 9,               rrp,10,  0.35,  0.05,      --- * -        |                   ,  0.26,  0.42
#
10,         baseline,398,  0.55,  0.16,           ----      *  ----------       ,  0.17,  0.93
