#
 0,            random,55,  0.19,  0.06,  -- *  --           |                   ,  0.13,  0.27
 0,           exploit,55,  0.19,  0.02,     *--             |                   ,  0.16,  0.26
 0,           exploit,50,  0.20,  0.03,     *----           |                   ,  0.16,  0.26
 0,           exploit,45,  0.21,  0.02,  --  *-             |                   ,  0.13,  0.26
 0,            random,50,  0.21,  0.03,      *----          |                   ,  0.17,  0.30
 0,           exploit,60,  0.21,  0.03,      *---           |                   ,  0.16,  0.26
 0,           exploit,40,  0.21,  0.04,   ---* ----         |                   ,  0.13,  0.30
 0,            random,60,  0.21,  0.07,   -  *  --          |                   ,  0.13,  0.30
 0,            random,45,  0.21,  0.03,      *--            |                   ,  0.16,  0.27
#
 1,            random,35,  0.22,  0.07,  --  *  -           |                   ,  0.13,  0.32
 1,            random,40,  0.22,  0.06,    --*   -          |                   ,  0.13,  0.34
 1,           exploit,30,  0.24,  0.05,    -   *-           |                   ,  0.16,  0.31
#
 2,           exploit,25,  0.25,  0.06,     -  * -          |                   ,  0.13,  0.32
 2,            random,30,  0.25,  0.06,    --  * -          |                   ,  0.13,  0.33
 2,           exploit,35,  0.25,  0.05,   ---  *-           |                   ,  0.13,  0.27
#
 3,           exploit,20,  0.26,  0.04,      --  *-         |                   ,  0.16,  0.30
#
 4,            random,25,  0.28,  0.06,      --   *----     |                   ,  0.18,  0.37
#
 5,            random,20,  0.28,  0.05,    -----  *--       |                   ,  0.16,  0.46
#
 6,        baseline,1000,  0.47,  0.11,            -------  | *   -----         ,  0.16,  0.71
