#
 0,           exploit,55,  0.36,  0.05,         --*  -      |                   ,  0.20,  0.44
 0,           EXPLORE,60,  0.38,  0.04,          - *-       |                   ,  0.31,  0.42
#
 1,           EXPLORE,50,  0.38,  0.02,         ---*--      |                   ,  0.27,  0.44
 1,            random,45,  0.38,  0.05,        --- *-       |                   ,  0.27,  0.43
 1,            random,60,  0.39,  0.04,           - *-      |                   ,  0.20,  0.44
 1,           exploit,50,  0.39,  0.03,          -- *-      |                   ,  0.31,  0.43
 1,            random,40,  0.40,  0.04,             *       |                   ,  0.31,  0.43
#
 2,            random,55,  0.40,  0.03,       ----- *       |                   ,  0.20,  0.42
 2,           exploit,40,  0.40,  0.05,    -------  *       |                   ,  0.20,  0.42
 2,           exploit,60,  0.40,  0.07,       ----   *      |                   ,  0.16,  0.43
 2,           EXPLORE,40,  0.41,  0.03,           -- *      |                   ,  0.31,  0.43
 2,            random,35,  0.41,  0.02,            - *      |                   ,  0.35,  0.44
 2,           EXPLORE,55,  0.41,  0.03,          --  *      |                   ,  0.20,  0.42
 2,           EXPLORE,35,  0.41,  0.03,         ---- *      |                   ,  0.27,  0.43
#
 3,           exploit,30,  0.41,  0.04,         ---  *      |                   ,  0.20,  0.43
 3,           exploit,35,  0.41,  0.05,           -  *      |                   ,  0.35,  0.43
 3,           exploit,45,  0.41,  0.05,          --  *      |                   ,  0.28,  0.43
 3,           EXPLORE,45,  0.41,  0.02,            - *      |                   ,  0.33,  0.44
 3,            random,50,  0.41,  0.03,           -- *      |                   ,  0.27,  0.43
 3,            random,20,  0.41,  0.03,           -- *      |                   ,  0.35,  0.43
#
 4,            random,30,  0.42,  0.01,            --*-     |                   ,  0.32,  0.50
 4,           exploit,25,  0.42,  0.02,             -*      |                   ,  0.28,  0.43
 4,           EXPLORE,20,  0.42,  0.01,              *      |                   ,  0.32,  0.44
 4,           EXPLORE,25,  0.42,  0.02,           -- *      |                   ,  0.23,  0.44
 4,           EXPLORE,30,  0.42,  0.02,            --*      |                   ,  0.30,  0.43
 4,           exploit,20,  0.42,  0.01,              *      |                   ,  0.34,  0.44
 4,            random,25,  0.42,  0.01,               *     |                   ,  0.32,  0.43
#
 5,               rrp,14,  0.44,  0.04,           --- *-----|---------          ,  0.32,  0.72
#
 6,       baseline,10000,  0.70,  0.25,               -     |       *--         ,  0.16,  0.90
