#
 0,            random,15,  0.00,  0.00, *                   |                   ,  0.00,  0.00
#
 1,    exploit/True/1,15,  0.00,  0.00, *                   |                   ,  0.00,  0.00
#
 2,  exploit/True/0.9,15,  0.00,  0.00, *                   |                   ,  0.00,  0.00
#
 3,  exploit/True/0.8,15,  0.00,  0.00, *                   |                   ,  0.00,  0.00
#
 4,  exploit/True/0.7,15,  0.00,  0.00, *                   |                   ,  0.00,  0.00
#
 5,  exploit/True/0.6,15,  0.00,  0.00, *                   |                   ,  0.00,  0.00
#
 6,            random,20,  0.00,  0.00, *                   |                   ,  0.00,  0.00
#
 7,    exploit/True/1,20,  0.00,  0.00, *                   |                   ,  0.00,  0.00
#
 8,  exploit/True/0.9,20,  0.00,  0.00, *                   |                   ,  0.00,  0.00
#
 9,  exploit/True/0.8,20,  0.00,  0.00, *                   |                   ,  0.00,  0.71
#
10,  exploit/True/0.7,20,  0.00,  0.00, *                   |                   ,  0.00,  0.00
#
11,  exploit/True/0.6,20,  0.00,  0.00, *                   |                   ,  0.00,  0.00
#
12,            random,25,  0.00,  0.00, *                   |                   ,  0.00,  0.00
#
13,    exploit/True/1,25,  0.00,  0.00, *                   |                   ,  0.00,  0.00
#
14,  exploit/True/0.9,25,  0.00,  0.00, *                   |                   ,  0.00,  0.00
#
15,  exploit/True/0.8,25,  0.00,  0.00, *                   |                   ,  0.00,  0.00
#
16,  exploit/True/0.7,25,  0.00,  0.00, *                   |                   ,  0.00,  0.00
#
17,  exploit/True/0.6,25,  0.00,  0.00, *                   |                   ,  0.00,  0.00
#
18,            random,30,  0.00,  0.00, *                   |                   ,  0.00,  0.00
#
19,    exploit/True/1,30,  0.00,  0.00, *                   |                   ,  0.00,  0.00
#
20,  exploit/True/0.9,30,  0.00,  0.00, *                   |                   ,  0.00,  0.00
#
21,  exploit/True/0.8,30,  0.00,  0.00, *                   |                   ,  0.00,  0.00
#
22,  exploit/True/0.7,30,  0.00,  0.00, *                   |                   ,  0.00,  0.00
#
23,  exploit/True/0.6,30,  0.00,  0.00, *                   |                   ,  0.00,  0.00
#
24,            random,35,  0.00,  0.00, *                   |                   ,  0.00,  0.00
#
25,    exploit/True/1,35,  0.00,  0.00, *                   |                   ,  0.00,  0.00
#
26,  exploit/True/0.9,35,  0.00,  0.00, *                   |                   ,  0.00,  0.00
#
27,  exploit/True/0.8,35,  0.00,  0.00, *                   |                   ,  0.00,  0.00
#
28,  exploit/True/0.7,35,  0.00,  0.00, *                   |                   ,  0.00,  0.00
#
29,  exploit/True/0.6,35,  0.00,  0.00, *                   |                   ,  0.00,  0.00
#
30,            random,40,  0.00,  0.00, *                   |                   ,  0.00,  0.00
#
31,    exploit/True/1,40,  0.00,  0.00, *                   |                   ,  0.00,  0.00
#
32,  exploit/True/0.9,40,  0.00,  0.00, *                   |                   ,  0.00,  0.00
#
33,  exploit/True/0.8,40,  0.00,  0.00, *                   |                   ,  0.00,  0.00
#
34,  exploit/True/0.7,40,  0.00,  0.00, *                   |                   ,  0.00,  0.00
#
35,  exploit/True/0.6,40,  0.00,  0.00, *                   |                   ,  0.00,  0.00
#
36,       baseline,10000,  0.86,  0.16, --------------------|---------      *   ,  0.00,  0.94
