#
 0,            random,50,  0.41,  0.06,    * ----           |                   ,  0.38,  0.46
 0,           exploit,50,  0.41,  0.01, ---*                |                   ,  0.38,  0.41
 0,           exploit,55,  0.41,  0.00, ---*                |                   ,  0.38,  0.41
 0,           exploit,60,  0.41,  0.00, ---*                |                   ,  0.38,  0.41
 0,           exploit,20,  0.41,  0.01, ---*-               |                   ,  0.38,  0.43
 0,           exploit,25,  0.41,  0.01,    *                |                   ,  0.38,  0.42
 0,           exploit,30,  0.41,  0.00,    *                |                   ,  0.38,  0.41
 0,           exploit,35,  0.41,  0.00,    *                |                   ,  0.38,  0.41
 0,           exploit,40,  0.41,  0.00,    *                |                   ,  0.38,  0.42
 0,           exploit,45,  0.41,  0.01, ---*                |                   ,  0.38,  0.41
#
 1,            random,40,  0.43,  0.03,    --*  -           |                   ,  0.38,  0.47
 1,            random,45,  0.43,  0.03, ---  * --           |                   ,  0.38,  0.47
 1,            random,55,  0.43,  0.04,      * -            |                   ,  0.38,  0.46
 1,            random,60,  0.43,  0.05, ---  *  -           |                   ,  0.38,  0.46
 1,            random,35,  0.44,  0.03,    --  *--          |                   ,  0.38,  0.48
 1,            random,30,  0.45,  0.04,     -  * -          |                   ,  0.38,  0.48
 1,            random,25,  0.46,  0.02,      -- *-          |                   ,  0.41,  0.48
 1,            random,20,  0.47,  0.03,     ---  *-         |                   ,  0.38,  0.49
#
 2,          baseline,93,  0.49,  0.02,      ----- *-       |                   ,  0.38,  0.76
