#
 0,           EXPLORE,50,  0.07,  0.01, *------             |                   ,  0.07,  0.25
 0,           exploit,60,  0.07,  0.01, *---                |                   ,  0.07,  0.19
 0,           EXPLORE,60,  0.07,  0.01, *-                  |                   ,  0.07,  0.21
 0,           exploit,35,  0.07,  0.03, *-----              |                   ,  0.07,  0.26
 0,           exploit,40,  0.07,  0.05, * --                |                   ,  0.07,  0.16
 0,           EXPLORE,45,  0.07,  0.03, *-----              |                   ,  0.07,  0.26
 0,           exploit,50,  0.07,  0.05, * -----             |                   ,  0.07,  0.26
#
 1,           EXPLORE,55,  0.07,  0.05, * --                |                   ,  0.07,  0.18
 1,           exploit,55,  0.08,  0.05, * ----              |                   ,  0.07,  0.23
#
 2,           exploit,30,  0.10,  0.11,  *   --             |                   ,  0.07,  0.23
 2,           EXPLORE,40,  0.10,  0.05,  *----              |                   ,  0.07,  0.22
 2,           exploit,45,  0.10,  0.08,  *  ----            |                   ,  0.07,  0.25
#
 3,            random,55,  0.10,  0.09,  *  --              |                   ,  0.07,  0.19
 3,           EXPLORE,35,  0.12,  0.11,   *  -              |                   ,  0.07,  0.24
#
 4,           EXPLORE,30,  0.15,  0.12,     * -             |                   ,  0.07,  0.24
 4,            random,45,  0.15,  0.08,     *--             |                   ,  0.07,  0.24
 4,            random,60,  0.15,  0.08, -   *--             |                   ,  0.07,  0.24
#
 5,           exploit,20,  0.16,  0.15,     *  -            |                   ,  0.07,  0.25
 5,           exploit,25,  0.18,  0.12,      *---           |                   ,  0.07,  0.32
 5,            random,30,  0.18,  0.10, -    *----          |                   ,  0.07,  0.33
 5,           EXPLORE,20,  0.18,  0.09,  --- *  ----        |                   ,  0.07,  0.34
 5,            random,40,  0.18,  0.09, ---- *  ----        |                   ,  0.07,  0.32
 5,            random,50,  0.18,  0.06, ---- * -            |                   ,  0.07,  0.25
#
 6,            random,35,  0.19,  0.10, --    *             |                   ,  0.07,  0.24
 6,           EXPLORE,25,  0.20,  0.09, ----  * --          |                   ,  0.07,  0.30
 6,               rrp,10,  0.20,  0.30, --    *          ---|-----              ,  0.07,  0.63
 6,            random,25,  0.21,  0.04,   ----* --          |                   ,  0.07,  0.34
#
 7,            random,20,  0.23,  0.04,  ----- *----        |                   ,  0.07,  0.33
#
 8,         baseline,500,  0.52,  0.17,            ------   |*   -----          ,  0.07,  0.90
