#
 0,    exploit/True/1,30,  0.04,  0.03, - *-----            |                   ,  0.00,  0.19
 0,  exploit/True/0.9,35,  0.04,  0.04, - *----             |                   ,  0.00,  0.15
 0,  exploit/True/0.9,30,  0.05,  0.06, - * ----            |                   ,  0.00,  0.17
#
 1,    exploit/True/1,40,  0.05,  0.02, --*----             |                   ,  0.02,  0.15
 1,  exploit/True/0.9,40,  0.05,  0.02, - *--               |                   ,  0.00,  0.11
 1,  exploit/True/0.9,25,  0.06,  0.01,  - *---             |                   ,  0.02,  0.17
 1,            random,35,  0.06,  0.06, -- * --             |                   ,  0.00,  0.17
 1,            random,25,  0.06,  0.06, -  *-               |                   ,  0.00,  0.19
 1,    exploit/True/1,25,  0.06,  0.05,  - * -              |                   ,  0.00,  0.15
 1,            random,40,  0.06,  0.04, -- *--              |                   ,  0.00,  0.14
#
 2,    exploit/True/1,35,  0.06,  0.04,  - *----            |                   ,  0.02,  0.23
 2,    exploit/True/1,20,  0.07,  0.07, -  * ---            |                   ,  0.02,  0.20
 2,  exploit/True/0.8,40,  0.07,  0.04,  - *-------         |                   ,  0.00,  0.23
#
 3,            random,20,  0.09,  0.08,  -- *  -            |                   ,  0.00,  0.24
 3,  exploit/True/0.7,30,  0.09,  0.07,     * --            |                   ,  0.02,  0.23
 3,  exploit/True/0.8,35,  0.09,  0.09,  -- *  -            |                   ,  0.02,  0.17
 3,  exploit/True/0.8,15,  0.09,  0.09,   - *  -            |                   ,  0.02,  0.28
 3,  exploit/True/0.7,20,  0.10,  0.08,  -- *  --           |                   ,  0.02,  0.21
 3,  exploit/True/0.9,15,  0.10,  0.09,  --  * ---          |                   ,  0.02,  0.22
 3,  exploit/True/0.8,30,  0.10,  0.05, ---  *--            |                   ,  0.02,  0.17
#
 4,            random,15,  0.10,  0.11, ---  *  --          |                   ,  0.00,  0.26
 4,            random,30,  0.10,  0.05,   -- *---           |                   ,  0.04,  0.21
 4,  exploit/True/0.6,30,  0.10,  0.11,   -  *   ---        |                   ,  0.04,  0.26
 4,  exploit/True/0.7,25,  0.10,  0.10,      *  ----        |                   ,  0.02,  0.26
 4,  exploit/True/0.8,20,  0.11,  0.12, -    *  -           |                   ,  0.00,  0.34
 4,    exploit/True/1,15,  0.11,  0.05,   ---* -            |                   ,  0.02,  0.21
 4,  exploit/True/0.7,35,  0.11,  0.07,    - *  --          |                   ,  0.03,  0.23
 4,  exploit/True/0.7,40,  0.11,  0.09, ---  * -            |                   ,  0.00,  0.31
 4,  exploit/True/0.9,20,  0.11,  0.08, ---  * -            |                   ,  0.00,  0.23
 4,  exploit/True/0.8,25,  0.12,  0.08,  --   *-            |                   ,  0.02,  0.20
 4,  exploit/True/0.6,25,  0.12,  0.07,   --- * ------      |                   ,  0.03,  0.38
 4,  exploit/True/0.6,20,  0.12,  0.05,  ---  *----         |                   ,  0.00,  0.24
 4,  exploit/True/0.6,15,  0.13,  0.09, ---   *----         |                   ,  0.02,  0.32
 4,  exploit/True/0.6,40,  0.13,  0.08,   -   *-----        |                   ,  0.02,  0.28
 4,  exploit/True/0.6,35,  0.14,  0.05,    --  *-           |                   ,  0.02,  0.20
#
 5,  exploit/True/0.7,15,  0.15,  0.06,   ---  *--          |                   ,  0.03,  0.30
#
 6,         baseline,500,  0.41,  0.16,         --------    |*  -----           ,  0.00,  0.77
