#
 0,           EXPLORE,55,  0.23,  0.05, ----*  ---          |                   ,  0.15,  0.35
 0,           exploit,60,  0.23,  0.03, ----* -             |                   ,  0.15,  0.31
 0,           exploit,45,  0.26,  0.06,       *--           |                   ,  0.15,  0.33
 0,           EXPLORE,45,  0.26,  0.05, ----  *--           |                   ,  0.15,  0.35
 0,           EXPLORE,50,  0.26,  0.06,       *-            |                   ,  0.15,  0.34
#
 1,           exploit,55,  0.26,  0.04,       *             |                   ,  0.15,  0.30
 1,           EXPLORE,60,  0.26,  0.01,     --*-            |                   ,  0.23,  0.34
 1,           exploit,35,  0.27,  0.02, ------*---          |                   ,  0.15,  0.38
 1,           exploit,40,  0.27,  0.03, ------*---          |                   ,  0.15,  0.36
 1,           EXPLORE,40,  0.27,  0.04,     --* --          |                   ,  0.15,  0.35
 1,           exploit,50,  0.27,  0.02,     --*-            |                   ,  0.15,  0.34
#
 2,           exploit,20,  0.28,  0.03,     ---*---         |                   ,  0.15,  0.36
 2,           EXPLORE,30,  0.28,  0.05,     -- *-           |                   ,  0.15,  0.33
 2,            random,40,  0.28,  0.06, ------ * ---        |                   ,  0.15,  0.37
 2,           EXPLORE,25,  0.28,  0.06,     -- * --         |                   ,  0.15,  0.39
 2,           EXPLORE,35,  0.28,  0.04,        *---         |                   ,  0.23,  0.37
#
 3,            random,50,  0.28,  0.03,       -*--          |                   ,  0.23,  0.35
 3,            random,45,  0.29,  0.09, ----   * --         |                   ,  0.15,  0.39
 3,           EXPLORE,20,  0.30,  0.04,       - *--         |                   ,  0.23,  0.38
 3,            random,35,  0.30,  0.06,         *--         |                   ,  0.15,  0.36
 3,            random,55,  0.31,  0.07,       - * -         |                   ,  0.23,  0.36
 3,           exploit,30,  0.31,  0.06,     --  *--         |                   ,  0.15,  0.37
 3,            random,60,  0.31,  0.06,       - *           |                   ,  0.26,  0.36
 3,           exploit,25,  0.32,  0.07,       -  *-         |                   ,  0.15,  0.38
#
 4,            random,20,  0.32,  0.07,       -  *---       |                   ,  0.23,  0.57
 4,            random,25,  0.33,  0.04,        - * -        |                   ,  0.15,  0.44
 4,            random,30,  0.33,  0.07,     --   *--        |                   ,  0.15,  0.44
#
 5,               rrp,10,  0.38,  0.09,         --  * ----- |                   ,  0.23,  0.60
#
 6,         baseline,500,  0.58,  0.15,              ------ |  *   ------       ,  0.15,  0.88
