#
 0,           exploit,60,  0.06,  0.01, -*                  |                   ,  0.04,  0.09
 0,           exploit,35,  0.07,  0.02, -*--                |                   ,  0.04,  0.15
 0,           exploit,40,  0.07,  0.03, -*-                 |                   ,  0.04,  0.16
 0,           exploit,50,  0.07,  0.01, -*                  |                   ,  0.04,  0.09
 0,           EXPLORE,50,  0.07,  0.01, -*                  |                   ,  0.04,  0.12
 0,           exploit,55,  0.07,  0.00, -*                  |                   ,  0.04,  0.11
 0,           EXPLORE,55,  0.07,  0.02, -*                  |                   ,  0.04,  0.11
 0,           EXPLORE,60,  0.07,  0.00,  *---               |                   ,  0.04,  0.14
#
 1,           exploit,45,  0.07,  0.00, -*                  |                   ,  0.04,  0.11
 1,           EXPLORE,35,  0.07,  0.01,  *---               |                   ,  0.06,  0.14
#
 2,           EXPLORE,45,  0.07,  0.02,  *-                 |                   ,  0.04,  0.11
 2,           EXPLORE,40,  0.08,  0.02,   *--               |                   ,  0.04,  0.17
 2,           EXPLORE,20,  0.08,  0.03,   *--               |                   ,  0.04,  0.18
 2,            random,50,  0.08,  0.02, - *-                |                   ,  0.04,  0.12
 2,           exploit,30,  0.08,  0.01,   *                 |                   ,  0.04,  0.10
 2,            random,45,  0.08,  0.03,   *-                |                   ,  0.04,  0.15
 2,           exploit,25,  0.09,  0.02,   *-                |                   ,  0.06,  0.16
#
 3,           EXPLORE,25,  0.09,  0.02,   *                 |                   ,  0.06,  0.11
 3,           EXPLORE,30,  0.09,  0.03,   *-                |                   ,  0.06,  0.17
 3,            random,55,  0.09,  0.01,  -*                 |                   ,  0.04,  0.17
 3,            random,25,  0.09,  0.03,  -* -               |                   ,  0.04,  0.19
 3,            random,35,  0.09,  0.03,   *-                |                   ,  0.04,  0.16
 3,            random,30,  0.09,  0.01,  -*--               |                   ,  0.07,  0.16
 3,            random,40,  0.09,  0.03,   *--               |                   ,  0.04,  0.14
 3,            random,60,  0.09,  0.01,  -*-                |                   ,  0.04,  0.16
 3,           exploit,20,  0.09,  0.02,   *                 |                   ,  0.07,  0.17
#
 4,            random,20,  0.11,  0.04,   -* ---            |                   ,  0.07,  0.19
 4,               rrp,10,  0.13,  0.07,   -  *---------     |                   ,  0.07,  0.39
#
 5,         baseline,500,  0.33,  0.19,      -----      *   |------             ,  0.04,  0.76
