#
 0,           exploit,50,  0.01,  0.00, -*                  |                   ,  0.01,  0.02
 0,           exploit,45,  0.01,  0.00,  *                  |                   ,  0.01,  0.02
 0,           exploit,60,  0.01,  0.00, -*                  |                   ,  0.01,  0.02
 0,           exploit,55,  0.01,  0.00, -*                  |                   ,  0.01,  0.02
#
 1,           exploit,30,  0.01,  0.00,  *                  |                   ,  0.00,  0.02
#
 2,           exploit,25,  0.01,  0.00,  *                  |                   ,  0.01,  0.02
 2,           exploit,35,  0.01,  0.00,  *                  |                   ,  0.01,  0.02
 2,           exploit,20,  0.01,  0.00,  *                  |                   ,  0.01,  0.02
 2,           exploit,40,  0.01,  0.00,  *                  |                   ,  0.01,  0.02
 2,            random,60,  0.01,  0.00,  *                  |                   ,  0.01,  0.02
#
 3,            random,45,  0.01,  0.00,  *                  |                   ,  0.01,  0.02
 3,            random,50,  0.01,  0.00, -*                  |                   ,  0.01,  0.02
 3,            random,55,  0.02,  0.00,  *                  |                   ,  0.01,  0.02
 3,            random,40,  0.02,  0.00, -*                  |                   ,  0.00,  0.02
#
 4,            random,35,  0.02,  0.00,  *                  |                   ,  0.01,  0.02
 4,            random,30,  0.02,  0.00,  *                  |                   ,  0.01,  0.02
 4,            random,25,  0.02,  0.00,  *                  |                   ,  0.01,  0.02
 4,            random,20,  0.02,  0.00,  *                  |                   ,  0.01,  0.02
#
 5,               rrp,12,  0.02,  0.00,  *                  |                   ,  0.01,  0.10
#
 6,           EXPLORE,50,  0.02,  0.02,   *---              |                   ,  0.01,  0.07
 6,           EXPLORE,60,  0.02,  0.02,   * -               |                   ,  0.01,  0.05
#
 7,           EXPLORE,35,  0.02,  0.03,   *                 |                   ,  0.01,  0.05
 7,           EXPLORE,25,  0.02,  0.03,  -*  --             |                   ,  0.01,  0.07
 7,           EXPLORE,45,  0.02,  0.02,  -*--               |                   ,  0.01,  0.07
 7,           EXPLORE,40,  0.02,  0.02,  -* ----------------|                   ,  0.01,  0.23
 7,           EXPLORE,55,  0.02,  0.02,   * -               |                   ,  0.01,  0.05
 7,           EXPLORE,20,  0.03,  0.02,  - *-               |                   ,  0.01,  0.11
#
 8,           EXPLORE,30,  0.05,  0.02,   - *------         |                   ,  0.02,  0.11
#
 9,        baseline,2866,  0.06,  0.14,  ---  *            -|---------          ,  0.01,  0.37
