#
 0,           exploit,25,  0.00,  0.00, *                   |                   ,  0.00,  0.01
 0,           exploit,30,  0.00,  0.00, *                   |                   ,  0.00,  0.05
 0,           exploit,35,  0.00,  0.00, *                   |                   ,  0.00,  0.00
 0,           EXPLORE,35,  0.00,  0.00, *                   |                   ,  0.00,  0.05
 0,           exploit,40,  0.00,  0.00, *                   |                   ,  0.00,  0.00
 0,           EXPLORE,40,  0.00,  0.00, *                   |                   ,  0.00,  0.00
 0,           exploit,45,  0.00,  0.00, *                   |                   ,  0.00,  0.00
 0,           EXPLORE,45,  0.00,  0.00, *                   |                   ,  0.00,  0.00
 0,           exploit,50,  0.00,  0.00, *                   |                   ,  0.00,  0.00
 0,           EXPLORE,50,  0.00,  0.00, *                   |                   ,  0.00,  0.00
 0,           exploit,55,  0.00,  0.00, *                   |                   ,  0.00,  0.00
 0,           EXPLORE,55,  0.00,  0.00, *                   |                   ,  0.00,  0.00
 0,           exploit,60,  0.00,  0.00, *                   |                   ,  0.00,  0.00
#
 1,           EXPLORE,60,  0.00,  0.00, *                   |                   ,  0.00,  0.00
 1,           EXPLORE,25,  0.00,  0.00, *-                  |                   ,  0.00,  0.07
 1,           EXPLORE,30,  0.00,  0.00, *-                  |                   ,  0.00,  0.06
 1,            random,50,  0.00,  0.00, *                   |                   ,  0.00,  0.00
#
 2,            random,40,  0.00,  0.00, *                   |                   ,  0.00,  0.01
 2,            random,45,  0.00,  0.00, *                   |                   ,  0.00,  0.00
#
 3,            random,55,  0.00,  0.00, *                   |                   ,  0.00,  0.00
 3,            random,60,  0.00,  0.00, *                   |                   ,  0.00,  0.00
 3,           exploit,20,  0.00,  0.00, *                   |                   ,  0.00,  0.05
 3,           EXPLORE,20,  0.00,  0.00, *                   |                   ,  0.00,  0.01
 3,            random,35,  0.00,  0.00, *                   |                   ,  0.00,  0.06
 3,            random,30,  0.00,  0.00, *                   |                   ,  0.00,  0.01
#
 4,            random,25,  0.00,  0.00, *                   |                   ,  0.00,  0.01
 4,            random,20,  0.00,  0.01, *                   |                   ,  0.00,  0.06
#
 5,                rrp,9,  0.01,  0.01, *-                  |                   ,  0.00,  0.06
#
 6,         baseline,196,  0.25,  0.13, --------  *  ------ |                   ,  0.00,  1.00
