#
 0,           exploit,25,  0.00,  0.00, *                   |                   ,  0.00,  0.05
 0,           exploit,30,  0.00,  0.00, *                   |                   ,  0.00,  0.05
 0,           exploit,35,  0.00,  0.00, *                   |                   ,  0.00,  0.06
 0,           exploit,40,  0.00,  0.00, *                   |                   ,  0.00,  0.01
 0,           exploit,45,  0.00,  0.00, *                   |                   ,  0.00,  0.00
 0,           exploit,50,  0.00,  0.00, *                   |                   ,  0.00,  0.00
#
 1,           exploit,55,  0.00,  0.00, *                   |                   ,  0.00,  0.00
 1,           exploit,60,  0.00,  0.00, *                   |                   ,  0.00,  0.00
#
 2,           exploit,20,  0.00,  0.00, *                   |                   ,  0.00,  0.07
 2,            random,45,  0.00,  0.00, *                   |                   ,  0.00,  0.01
 2,            random,50,  0.00,  0.00, *                   |                   ,  0.00,  0.01
 2,            random,60,  0.00,  0.00, *                   |                   ,  0.00,  0.01
#
 3,            random,55,  0.00,  0.00, *                   |                   ,  0.00,  0.01
 3,            random,35,  0.00,  0.00, *                   |                   ,  0.00,  0.01
 3,            random,40,  0.00,  0.00, *                   |                   ,  0.00,  0.01
#
 4,            random,30,  0.00,  0.00, *                   |                   ,  0.00,  0.01
#
 5,            random,20,  0.00,  0.00, *-                  |                   ,  0.00,  0.09
 5,            random,25,  0.01,  0.00, *                   |                   ,  0.00,  0.01
#
 6,         baseline,196,  0.26,  0.13, --------  *  -----  |                   ,  0.00,  1.00
