#
 0,           EXPLORE,50,  0.02,  0.01, -*                  |                   ,  0.00,  0.03
 0,           exploit,55,  0.02,  0.02, -*                  |                   ,  0.00,  0.05
 0,           exploit,60,  0.02,  0.01, -*-                 |                   ,  0.01,  0.07
 0,           EXPLORE,45,  0.02,  0.01, -*                  |                   ,  0.00,  0.11
 0,           EXPLORE,60,  0.02,  0.01, -*-                 |                   ,  0.00,  0.07
 0,           exploit,45,  0.03,  0.02, -*-                 |                   ,  0.01,  0.07
#
 1,           EXPLORE,55,  0.03,  0.02, -*-                 |                   ,  0.00,  0.06
 1,           EXPLORE,40,  0.03,  0.02, -*-                 |                   ,  0.01,  0.06
 1,           exploit,50,  0.03,  0.02,  *-                 |                   ,  0.02,  0.08
#
 2,           exploit,35,  0.04,  0.03, - *                 |                   ,  0.00,  0.06
 2,           exploit,30,  0.04,  0.04,   *--               |                   ,  0.00,  0.10
 2,           EXPLORE,35,  0.04,  0.02, - *                 |                   ,  0.00,  0.07
#
 3,           exploit,40,  0.05,  0.03,   *-                |                   ,  0.02,  0.07
 3,           EXPLORE,25,  0.05,  0.03,   *---              |                   ,  0.02,  0.14
 3,            random,40,  0.05,  0.02,    *                |                   ,  0.03,  0.11
 3,           EXPLORE,30,  0.05,  0.02, -- *-               |                   ,  0.00,  0.13
 3,           EXPLORE,20,  0.05,  0.03,    *--              |                   ,  0.02,  0.13
 3,           exploit,25,  0.05,  0.03,  - *--              |                   ,  0.02,  0.14
 3,            random,45,  0.05,  0.03,  - *-               |                   ,  0.02,  0.09
#
 4,            random,50,  0.06,  0.03,  - *-               |                   ,  0.01,  0.12
 4,            random,60,  0.06,  0.03,    *-               |                   ,  0.02,  0.12
 4,               rrp,14,  0.06,  0.04,  - * -              |                   ,  0.00,  0.13
 4,            random,55,  0.06,  0.02,  - *-               |                   ,  0.02,  0.10
 4,           exploit,20,  0.06,  0.04,  - * --             |                   ,  0.02,  0.15
#
 5,            random,20,  0.07,  0.05,    *                |                   ,  0.02,  0.11
 5,            random,30,  0.07,  0.03,  -- *-              |                   ,  0.02,  0.15
 5,            random,35,  0.07,  0.04,  -  *               |                   ,  0.00,  0.11
#
 6,            random,25,  0.08,  0.04,   - *--             |                   ,  0.03,  0.13
#
 7,       baseline,10000,  0.25,  0.10,        ----   *  ---|---                ,  0.02,  0.67
