#
 0,           EXPLORE,50,  0.11,  0.03, - *---              |                   ,  0.07,  0.21
 0,           exploit,55,  0.11,  0.03, - *                 |                   ,  0.07,  0.15
 0,           EXPLORE,55,  0.11,  0.04, - * -               |                   ,  0.08,  0.19
 0,           exploit,50,  0.12,  0.01, --*                 |                   ,  0.07,  0.16
 0,           exploit,60,  0.12,  0.02,   *--               |                   ,  0.08,  0.17
 0,           EXPLORE,60,  0.12,  0.02, - *                 |                   ,  0.07,  0.14
#
 1,           exploit,40,  0.12,  0.05,   * -               |                   ,  0.09,  0.19
 1,           EXPLORE,45,  0.13,  0.03,  - *-               |                   ,  0.09,  0.21
 1,           exploit,45,  0.13,  0.04,  - *--              |                   ,  0.08,  0.21
#
 2,           EXPLORE,40,  0.14,  0.04,  - *-               |                   ,  0.08,  0.17
 2,           exploit,30,  0.14,  0.05,  - *---             |                   ,  0.08,  0.20
 2,           exploit,35,  0.14,  0.04,  - *--              |                   ,  0.07,  0.21
 2,           EXPLORE,35,  0.14,  0.02,    *                |                   ,  0.08,  0.17
#
 3,            random,60,  0.14,  0.02,   -*--              |                   ,  0.10,  0.19
 3,           EXPLORE,30,  0.14,  0.03,   -*--              |                   ,  0.10,  0.22
 3,            random,45,  0.14,  0.06,  - * -              |                   ,  0.08,  0.20
 3,            random,55,  0.15,  0.03,   -*-               |                   ,  0.08,  0.19
 3,           exploit,25,  0.15,  0.02,     *               |                   ,  0.11,  0.23
 3,            random,50,  0.15,  0.03,   - *-              |                   ,  0.07,  0.24
 3,            random,35,  0.16,  0.03,   - *--             |                   ,  0.11,  0.25
#
 4,           EXPLORE,25,  0.16,  0.06,   - * -             |                   ,  0.10,  0.28
 4,           EXPLORE,20,  0.16,  0.04,   - *--             |                   ,  0.09,  0.25
 4,            random,40,  0.17,  0.03,   -- *              |                   ,  0.11,  0.22
 4,           exploit,20,  0.17,  0.05,  --  *--            |                   ,  0.10,  0.26
 4,            random,30,  0.18,  0.03,    - *              |                   ,  0.11,  0.20
 4,            random,25,  0.18,  0.05,    - * ---          |                   ,  0.13,  0.27
#
 5,            random,20,  0.19,  0.03,     - *--           |                   ,  0.13,  0.27
 5,               rrp,14,  0.20,  0.05,     - * ------      |                   ,  0.13,  0.37
#
 6,       baseline,10000,  0.36,  0.11,        -----   *  --|---                ,  0.08,  0.83
