#
 0,     exploit/False,20,  0.00,  0.02, *                   |                   ,  0.00,  0.03
 0,     EXPLORE/False,20,  0.00,  0.02, *                   |                   ,  0.00,  0.05
 0,      exploit/True,20,  0.00,  0.02, *                   |                   ,  0.00,  0.02
 0,      EXPLORE/True,20,  0.00,  0.02, *                   |                   ,  0.00,  0.03
 0,     exploit/False,30,  0.00,  0.00, *                   |                   ,  0.00,  0.00
 0,     EXPLORE/False,30,  0.00,  0.00, *                   |                   ,  0.00,  0.00
 0,      exploit/True,30,  0.00,  0.00, *                   |                   ,  0.00,  0.02
 0,      EXPLORE/True,30,  0.00,  0.00, *                   |                   ,  0.00,  0.02
 0,     exploit/False,40,  0.00,  0.00, *                   |                   ,  0.00,  0.00
 0,     EXPLORE/False,40,  0.00,  0.00, *                   |                   ,  0.00,  0.00
 0,      exploit/True,40,  0.00,  0.00, *                   |                   ,  0.00,  0.00
 0,      EXPLORE/True,40,  0.00,  0.00, *                   |                   ,  0.00,  0.00
#
 1,      exploit/True,10,  0.02,  0.02, *-                  |                   ,  0.00,  0.10
#
 2,            random,40,  0.02,  0.02, *                   |                   ,  0.00,  0.03
#
 3,            random,10,  0.03,  0.02,  *                  |                   ,  0.00,  0.10
 3,     exploit/False,10,  0.03,  0.03,  *                  |                   ,  0.00,  0.07
 3,     EXPLORE/False,10,  0.03,  0.03,  *--                |                   ,  0.00,  0.15
#
 4,      EXPLORE/True,10,  0.03,  0.03, -*--                |                   ,  0.00,  0.17
 4,            random,20,  0.03,  0.03,  *                  |                   ,  0.00,  0.08
#
 5,            random,30,  0.03,  0.02,  *                  |                   ,  0.00,  0.07
#
 6,         baseline,192,  0.22,  0.38,   ---   *           |--------           ,  0.00,  1.00
