#
 0,     exploit/False,20,  0.00,  0.22, *        --         |                   ,  0.00,  0.34
 0,      exploit/True,20,  0.00,  0.06, * ---------         |                   ,  0.00,  0.30
 0,     exploit/False,30,  0.00,  0.00, *--------           |                   ,  0.00,  0.28
 0,      exploit/True,30,  0.00,  0.00, *                   |                   ,  0.00,  0.23
 0,     exploit/False,40,  0.00,  0.00, *                   |                   ,  0.00,  0.00
 0,      exploit/True,40,  0.00,  0.00, *                   |                   ,  0.00,  0.00
#
 1,      exploit/True,10,  0.06,  0.22,   *      ------     |                   ,  0.00,  0.37
 1,     EXPLORE/False,40,  0.06,  0.13,   *  ----           |                   ,  0.00,  0.29
#
 2,      EXPLORE/True,40,  0.06,  0.13,   *  ------         |                   ,  0.00,  0.30
#
 3,      EXPLORE/True,30,  0.13,  0.13, --   * -----        |                   ,  0.00,  0.51
#
 4,            random,30,  0.19,  0.13, ---    * ---        |                   ,  0.00,  0.32
#
 5,     EXPLORE/False,30,  0.19,  0.09, -----  * ---        |                   ,  0.00,  0.36
 5,            random,40,  0.19,  0.13,   -    *            |                   ,  0.06,  0.25
 5,     EXPLORE/False,20,  0.22,  0.15, -----    * ---      |                   ,  0.00,  0.36
 5,     exploit/False,10,  0.23,  0.28,          * ------   |                   ,  0.00,  0.47
#
 6,            random,10,  0.23,  0.14, -----    * -----    |                   ,  0.00,  0.49
 6,            random,20,  0.23,  0.05,    ------* ----     |                   ,  0.00,  0.38
#
 7,      EXPLORE/True,20,  0.25,  0.05, --------- *-----    |                   ,  0.00,  0.44
#
 8,      EXPLORE/True,10,  0.30,  0.17,      ----   *   ----|                   ,  0.00,  0.49
 8,     EXPLORE/False,10,  0.31,  0.16,      ----   *   ----|-                  ,  0.06,  0.69
#
 9,         baseline,206,  0.56,  0.23,             ------  |  *    -----       ,  0.00,  0.95
