#
 0,      exploit/True,30,  0.05,  0.01,     -*--            |                   ,  0.00,  0.14
 0,     exploit/False,40,  0.05,  0.01,     -*-------       |                   ,  0.00,  0.23
 0,      exploit/True,40,  0.05,  0.01,      *--            |                   ,  0.00,  0.17
 0,     exploit/False,30,  0.06,  0.01,     - *----------   |                   ,  0.00,  0.22
 0,      exploit/True,20,  0.06,  0.02, ----- *-            |                   ,  0.00,  0.25
#
 1,            random,40,  0.06,  0.01,      -*             |                   ,  0.00,  0.08
 1,            random,20,  0.07,  0.01,      - *--          |                   ,  0.05,  0.11
 1,            random,30,  0.07,  0.01,      - *-           |                   ,  0.05,  0.10
#
 2,     exploit/False,20,  0.07,  0.03,      - *  ----------|---                ,  0.00,  0.25
 2,     EXPLORE/False,40,  0.07,  0.04,      - *  ---       |                   ,  0.00,  0.26
 2,      exploit/True,10,  0.08,  0.02,      -- *----       |                   ,  0.00,  0.24
 2,      EXPLORE/True,30,  0.08,  0.05,       - *   --------|                   ,  0.04,  0.19
 2,      EXPLORE/True,40,  0.08,  0.04,      -  *  --       |                   ,  0.00,  0.14
 2,      EXPLORE/True,10,  0.08,  0.04,       - *  --       |                   ,  0.05,  0.22
 2,     exploit/False,10,  0.08,  0.02,       - *-----------|----               ,  0.05,  0.24
#
 3,            random,10,  0.08,  0.02,         *-          |                   ,  0.06,  0.12
 3,      EXPLORE/True,20,  0.09,  0.01,      --- *-         |                   ,  0.04,  0.15
 3,     EXPLORE/False,10,  0.09,  0.02,      --- * --       |                   ,  0.00,  0.15
 3,     EXPLORE/False,20,  0.09,  0.02,       ---* ---------|                   ,  0.05,  0.23
 3,     EXPLORE/False,30,  0.10,  0.04,       -   *---------|-----              ,  0.04,  0.27
#
 4,        baseline,1512,  0.13,  0.07,          --  *    --|--------           ,  0.00,  0.38
