#
 0,     exploit/False,30,  0.32,  0.08, *                   |                   ,  0.32,  0.45
 0,     exploit/False,40,  0.32,  0.08, *                   |                   ,  0.32,  0.41
 0,      exploit/True,40,  0.32,  0.07, *   ----            |                   ,  0.32,  0.45
#
 1,     exploit/False,20,  0.35,  0.08,   *   ---           |                   ,  0.32,  0.45
 1,      exploit/True,20,  0.35,  0.08,   *   ---           |                   ,  0.32,  0.45
 1,      exploit/True,30,  0.35,  0.08,   *   --            |                   ,  0.32,  0.45
#
 2,      EXPLORE/True,40,  0.37,  0.08,    *    --          |                   ,  0.32,  0.52
 2,            random,40,  0.37,  0.01, --- *--             |                   ,  0.32,  0.42
 2,            random,30,  0.38,  0.06, --  * -             |                   ,  0.32,  0.43
 2,     EXPLORE/False,30,  0.38,  0.06,   - *   -           |                   ,  0.35,  0.45
#
 3,            random,20,  0.38,  0.04,    -*  --           |                   ,  0.35,  0.46
 3,      EXPLORE/True,30,  0.38,  0.04,   - * ----          |                   ,  0.32,  0.47
 3,      EXPLORE/True,20,  0.40,  0.07,   --  *  --         |                   ,  0.32,  0.49
 3,     exploit/False,10,  0.40,  0.05, ----  * -           |                   ,  0.32,  0.47
 3,      exploit/True,10,  0.40,  0.09, --    *  -          |                   ,  0.32,  0.50
 3,     EXPLORE/False,40,  0.40,  0.07,   --  *  -          |                   ,  0.32,  0.47
#
 4,      EXPLORE/True,10,  0.41,  0.08,   --  *  --         |                   ,  0.32,  0.48
 4,            random,10,  0.42,  0.07,    -   * ---        |                   ,  0.32,  0.50
#
 5,     EXPLORE/False,20,  0.42,  0.05,     -- * --         |                   ,  0.37,  0.49
#
 6,     EXPLORE/False,10,  0.45,  0.07,     --   * ---      |                   ,  0.32,  0.51
#
 7,         baseline,196,  0.53,  0.09,         -----  *   -|-------            ,  0.32,  0.86
