#
 0,      exploit/True,30,  0.13,  0.07, *   ------          |                   ,  0.12,  0.31
 0,     exploit/False,40,  0.15,  0.07,  *  ------          |                   ,  0.12,  0.30
 0,      exploit/True,20,  0.15,  0.11,   *     -----       |                   ,  0.12,  0.35
#
 1,            random,40,  0.18,  0.05, -- * ---            |                   ,  0.12,  0.24
 1,     exploit/False,20,  0.19,  0.11,     *   --          |                   ,  0.12,  0.30
#
 2,     exploit/False,30,  0.19,  0.11,     *   ---         |                   ,  0.12,  0.34
 2,      exploit/True,40,  0.19,  0.09,     * ----          |                   ,  0.12,  0.30
#
 3,            random,30,  0.22,  0.04,    -  *--           |                   ,  0.13,  0.28
 3,     EXPLORE/False,40,  0.22,  0.08,    -  *   ----      |                   ,  0.12,  0.37
#
 4,     exploit/False,10,  0.23,  0.09,   --   *  ---       |                   ,  0.12,  0.36
#
 5,      exploit/True,10,  0.24,  0.06, ----   *----        |                   ,  0.12,  0.30
 5,      EXPLORE/True,20,  0.24,  0.06,     ---*   -----    |                   ,  0.14,  0.40
 5,      EXPLORE/True,40,  0.24,  0.07, -----   * -----     |                   ,  0.12,  0.36
#
 6,            random,10,  0.24,  0.05,     --  * ----      |                   ,  0.19,  0.35
 6,     EXPLORE/False,30,  0.24,  0.07,  -----  *  ---      |                   ,  0.12,  0.36
 6,            random,20,  0.25,  0.03,   ------* ---       |                   ,  0.13,  0.32
 6,     EXPLORE/False,10,  0.26,  0.04,    ----- *--        |                   ,  0.15,  0.36
 6,      EXPLORE/True,30,  0.26,  0.05,     ---- * ----     |                   ,  0.17,  0.36
 6,     EXPLORE/False,20,  0.26,  0.07,    ---   * --       |                   ,  0.15,  0.49
 6,      EXPLORE/True,10,  0.29,  0.04,      ----  *-       |                   ,  0.17,  0.39
#
 7,         baseline,756,  0.39,  0.18,           ----    * |     ------------- ,  0.12,  0.71
