#
 0,     exploit/False,20,  0.37,  0.05, -*   --             |                   ,  0.35,  0.51
 0,            random,40,  0.37,  0.04,  * ---              |                   ,  0.35,  0.44
 0,      exploit/True,40,  0.37,  0.09,  *                  |                   ,  0.35,  0.46
 0,            random,20,  0.38,  0.04, - * ---             |                   ,  0.35,  0.45
 0,      EXPLORE/True,40,  0.38,  0.05,   *---------        |                   ,  0.35,  0.52
 0,     EXPLORE/False,30,  0.39,  0.07, -  *  --            |                   ,  0.35,  0.47
#
 1,     EXPLORE/False,20,  0.40,  0.08, -  *   --           |                   ,  0.35,  0.48
 1,            random,30,  0.40,  0.02, -- *---             |                   ,  0.35,  0.46
 1,      exploit/True,30,  0.40,  0.07, -  *  ----          |                   ,  0.35,  0.48
 1,      EXPLORE/True,30,  0.40,  0.08,    *  --            |                   ,  0.35,  0.48
 1,     EXPLORE/False,40,  0.40,  0.08, -  *   -            |                   ,  0.35,  0.46
 1,     exploit/False,40,  0.40,  0.10,     *               |                   ,  0.35,  0.45
 1,            random,10,  0.41,  0.06, --- *   --          |                   ,  0.35,  0.48
 1,     exploit/False,30,  0.41,  0.10,      *              |                   ,  0.35,  0.45
 1,      EXPLORE/True,10,  0.42,  0.07,   -  *  --          |                   ,  0.35,  0.52
#
 2,      EXPLORE/True,20,  0.43,  0.07,  --   * --          |                   ,  0.35,  0.49
 2,      exploit/True,20,  0.44,  0.08, -     *-----        |                   ,  0.35,  0.52
 2,     exploit/False,10,  0.45,  0.00,    ----*----        |                   ,  0.37,  0.61
 2,      exploit/True,10,  0.45,  0.02,   ---- *            |                   ,  0.35,  0.51
 2,     EXPLORE/False,10,  0.46,  0.03, ------- * -----     |                   ,  0.35,  0.67
#
 3,         baseline,196,  0.53,  0.11,        -----  *     |-----              ,  0.35,  0.88
