#
 0,      exploit/True,20,  0.23,  0.19, *         ----------|                   ,  0.23,  0.75
 0,     exploit/False,30,  0.23,  0.00, *                   |                   ,  0.23,  0.75
 0,      exploit/True,30,  0.23,  0.00, *---------          |                   ,  0.23,  0.71
 0,     exploit/False,40,  0.23,  0.00, *                   |                   ,  0.23,  0.70
 0,      exploit/True,40,  0.23,  0.00, *                   |                   ,  0.23,  0.42
 0,      EXPLORE/True,40,  0.23,  0.09, *   ----            |                   ,  0.23,  0.42
 0,     exploit/False,20,  0.23,  0.19, *         ----------|----               ,  0.23,  0.75
#
 1,     EXPLORE/False,30,  0.23,  0.15, *       ----        |                   ,  0.23,  0.70
 1,     EXPLORE/False,40,  0.23,  0.09, *                   |                   ,  0.23,  0.42
#
 2,      EXPLORE/True,30,  0.31,  0.19,     *     ----------|                   ,  0.23,  0.70
 2,            random,40,  0.31,  0.15,     *               |                   ,  0.23,  0.48
#
 3,     exploit/False,10,  0.31,  0.22,     *      ---------|---                ,  0.23,  0.71
 3,            random,30,  0.31,  0.15,     *               |                   ,  0.23,  0.42
#
 4,            random,20,  0.38,  0.07, ----    *           |                   ,  0.23,  0.45
 4,      exploit/True,10,  0.39,  0.26,         *    -------|                   ,  0.23,  0.75
#
 5,     EXPLORE/False,20,  0.42,  0.15, ----      * --------|---                ,  0.23,  0.78
#
 6,      EXPLORE/True,20,  0.42,  0.14, ----      * --------|-                  ,  0.23,  0.70
 6,            random,10,  0.45,  0.08,     ----   *---     |                   ,  0.23,  0.58
 6,     EXPLORE/False,10,  0.45,  0.06, ---------- * -------|----               ,  0.23,  0.76
#
 7,      EXPLORE/True,10,  0.45,  0.17,            * -------|-                  ,  0.23,  0.75
#
 8,         baseline,259,  0.72,  0.16,             --------|     *  ---------- ,  0.23,  0.97
