#
 0,      exploit/True,40,  0.00,  0.00, *-----------        |                   ,  0.00,  0.24
 0,      exploit/True,30,  0.00,  0.01, *-----------        |                   ,  0.00,  0.26
 0,      exploit/True,20,  0.02,  0.21, *          ---      |                   ,  0.00,  0.34
 0,            random,40,  0.02,  0.11,  *    --            |                   ,  0.00,  0.23
 0,      EXPLORE/True,30,  0.02,  0.20,  *         --       |                   ,  0.00,  0.25
#
 1,      EXPLORE/True,40,  0.04,  0.12,   *   ------------  |                   ,  0.00,  0.36
 1,     EXPLORE/False,40,  0.05,  0.09, - *   -------       |                   ,  0.00,  0.26
 1,            random,30,  0.05,  0.13, - *    ------       |                   ,  0.00,  0.28
#
 2,      exploit/True,10,  0.06,  0.21,    *        --      |                   ,  0.00,  0.30
 2,            random,20,  0.13,  0.18, -     *    --       |                   ,  0.00,  0.26
 2,     EXPLORE/False,30,  0.13,  0.19, --     *    --      |                   ,  0.00,  0.27
 2,            random,10,  0.14,  0.20, --     *     --     |                   ,  0.01,  0.30
 2,     EXPLORE/False,10,  0.16,  0.19,  -      *   ----    |                   ,  0.00,  0.44
 2,     exploit/False,30,  0.20,  0.23,           *         |                   ,  0.00,  0.24
 2,     exploit/False,40,  0.20,  0.23,           *         |                   ,  0.00,  0.24
#
 3,      EXPLORE/True,10,  0.22,  0.14,   ----     *  -     |                   ,  0.03,  0.33
 3,     EXPLORE/False,20,  0.23,  0.12, ------      *       |                   ,  0.00,  0.27
 3,     exploit/False,20,  0.23,  0.22,             *       |                   ,  0.00,  0.28
#
 4,      EXPLORE/True,20,  0.24,  0.19,  --         *--     |                   ,  0.02,  0.30
 4,     exploit/False,10,  0.24,  0.21, --           *      |                   ,  0.00,  0.29
#
 5,        baseline,1080,  0.33,  0.09,            ----  *  |-----              ,  0.00,  0.75
