#
 0,     exploit/False,40,  0.05,  0.01, -*-------           |                   ,  0.02,  0.19
 0,      exploit/True,40,  0.05,  0.01, -*--------          |                   ,  0.02,  0.58
 0,      exploit/True,30,  0.05,  0.01,  *------            |                   ,  0.04,  0.23
 0,     exploit/False,30,  0.05,  0.01, -*--------          |                   ,  0.02,  0.30
 0,      exploit/True,20,  0.06,  0.11, - *     -------     |                   ,  0.04,  0.58
 0,     exploit/False,10,  0.06,  0.14,   *      ---------  |                   ,  0.02,  0.55
 0,            random,40,  0.07,  0.02,  -*-                |                   ,  0.02,  0.14
#
 1,      exploit/True,10,  0.07,  0.12,  -*     -------     |                   ,  0.04,  0.59
 1,            random,30,  0.08,  0.02,  - *-               |                   ,  0.04,  0.25
 1,            random,20,  0.09,  0.03,  --*----------      |                   ,  0.04,  0.35
 1,      EXPLORE/True,40,  0.09,  0.20,  - *          ------|-----------        ,  0.04,  0.59
 1,      EXPLORE/True,30,  0.11,  0.14,   --*       ------  |                   ,  0.06,  0.48
 1,     exploit/False,20,  0.19,  0.13, ---      *-----     |                   ,  0.02,  0.46
#
 2,     EXPLORE/False,10,  0.21,  0.23,   --       *     ---|------             ,  0.04,  0.59
 2,     EXPLORE/False,40,  0.23,  0.17,   -----     *   ----|-------            ,  0.05,  0.58
 2,            random,10,  0.25,  0.19,   --         * --   |                   ,  0.06,  0.34
 2,     EXPLORE/False,30,  0.25,  0.20,    -         *  --- |                   ,  0.04,  0.58
 2,      EXPLORE/True,20,  0.25,  0.18,    ---       *  ----|--------           ,  0.05,  0.58
 2,      EXPLORE/True,10,  0.28,  0.12,    ---------  *    -|-----------        ,  0.07,  0.59
 2,     EXPLORE/False,20,  0.28,  0.22,   -            *----|-----------        ,  0.06,  0.59
#
 3,        baseline,3840,  0.60,  0.03,                     |            *----- ,  0.56,  0.71
