#
 0,      exploit/True,30,  0.08,  0.07,    * ------------   |                   ,  0.03,  0.40
 0,            random,40,  0.09,  0.04,  -- *----           |                   ,  0.01,  0.19
 0,     exploit/False,40,  0.10,  0.09,      *--------------|------             ,  0.01,  0.57
#
 1,     exploit/False,20,  0.11,  0.15, ---  *     ---------|-                  ,  0.01,  0.49
 1,     exploit/False,30,  0.12,  0.23, ---  *          --  |                   ,  0.01,  0.45
 1,      exploit/True,40,  0.14,  0.22,  ---   *        --- |                   ,  0.01,  0.38
 1,            random,30,  0.15,  0.04,    --  *----        |                   ,  0.03,  0.24
 1,     exploit/False,10,  0.16,  0.21,  ----   *        ---|-                  ,  0.01,  0.60
#
 2,            random,20,  0.17,  0.15,    ---- *      --   |                   ,  0.03,  0.33
 2,      exploit/True,10,  0.22,  0.16,    ---     *   ---  |                   ,  0.07,  0.46
 2,      exploit/True,20,  0.24,  0.16,  ------     *   --- |                   ,  0.04,  0.36
#
 3,            random,10,  0.26,  0.16,  --------     *    -|                   ,  0.02,  0.39
 3,      EXPLORE/True,40,  0.27,  0.16,  -------      *   --|                   ,  0.03,  0.43
 3,     EXPLORE/False,20,  0.27,  0.19,    -----      *    -|---                ,  0.03,  0.48
 3,     EXPLORE/False,30,  0.28,  0.17,     ------     *   -|                   ,  0.05,  0.43
 3,     EXPLORE/False,10,  0.30,  0.11,   ----------    *  -|                   ,  0.03,  0.42
 3,     EXPLORE/False,40,  0.30,  0.10,         ----    * --|---                ,  0.02,  0.52
#
 4,      EXPLORE/True,30,  0.32,  0.11,        -----     * -|---                ,  0.02,  0.44
 4,      EXPLORE/True,20,  0.32,  0.06,            ----- * -|--                 ,  0.05,  0.43
 4,      EXPLORE/True,10,  0.33,  0.13,        ----       *-|                   ,  0.13,  0.40
#
 5,        baseline,2880,  0.67,  0.03,                     |             -- *- ,  0.43,  0.71
