#
 0,     exploit/False,30,  0.16,  0.00, *                   |                   ,  0.16,  0.37
 0,     exploit/False,40,  0.16,  0.00, *                   |                   ,  0.16,  0.18
 0,      exploit/True,40,  0.16,  0.00, *                   |                   ,  0.16,  0.18
 0,     EXPLORE/False,40,  0.16,  0.00, *------------       |                   ,  0.16,  0.44
 0,      EXPLORE/True,40,  0.16,  0.01, *-                  |                   ,  0.16,  0.20
 0,      exploit/True,30,  0.16,  0.01, *                   |                   ,  0.16,  0.38
#
 1,     exploit/False,20,  0.16,  0.03, *--------------     |                   ,  0.16,  0.44
 1,      exploit/True,20,  0.18,  0.02,  *-----------       |                   ,  0.16,  0.50
 1,            random,40,  0.18,  0.02,  *-                 |                   ,  0.16,  0.40
 1,      EXPLORE/True,30,  0.18,  0.02,  *----------        |                   ,  0.16,  0.46
#
 2,     exploit/False,10,  0.19,  0.20, -*           ------ |                   ,  0.16,  0.54
 2,      exploit/True,10,  0.19,  0.17, -*         ------   |                   ,  0.16,  0.50
 2,            random,30,  0.19,  0.02, - *-----------      |                   ,  0.16,  0.43
 2,      EXPLORE/True,20,  0.20,  0.17, - *        ----     |                   ,  0.16,  0.42
 2,            random,20,  0.20,  0.01,  -*---------        |                   ,  0.17,  0.41
#
 3,     EXPLORE/False,30,  0.20,  0.25,   *            -----|                   ,  0.16,  0.50
#
 4,            random,10,  0.22,  0.18,  - *         ---    |                   ,  0.16,  0.56
 4,     EXPLORE/False,20,  0.37,  0.20, --          * ---   |                   ,  0.16,  0.51
#
 5,      EXPLORE/True,10,  0.40,  0.32, ---           *     |----               ,  0.16,  0.76
 5,     EXPLORE/False,10,  0.40,  0.13,  -----------  *     |---                ,  0.18,  0.70
#
 6,        baseline,1023,  0.65,  0.30,    -------------    |        *    ---   ,  0.16,  0.83
