#
 0,      EXPLORE/True,30,  0.12,  0.08,     ---- *          |                   ,  0.05,  0.20
 0,            random,40,  0.13,  0.03,        --* ---      |                   ,  0.05,  0.21
 0,     EXPLORE/False,40,  0.14,  0.09,           *   -     |                   ,  0.08,  0.23
#
 1,     EXPLORE/False,10,  0.16,  0.05,       ---- *  --    |                   ,  0.00,  0.25
 1,     EXPLORE/False,20,  0.17,  0.06,         -   * ----  |                   ,  0.09,  0.27
 1,            random,30,  0.17,  0.06,             *-      |                   ,  0.11,  0.20
 1,     EXPLORE/False,30,  0.18,  0.06,        --    *      |                   ,  0.06,  0.21
#
 2,     exploit/False,40,  0.18,  0.05,         -    *      |                   ,  0.08,  0.27
 2,     exploit/False,30,  0.18,  0.00,        ------*      |                   ,  0.07,  0.21
 2,      exploit/True,40,  0.18,  0.03,        ----  *      |                   ,  0.09,  0.19
 2,      EXPLORE/True,40,  0.18,  0.04,         --   *-     |                   ,  0.05,  0.21
 2,      exploit/True,20,  0.18,  0.02,          --- *      |                   ,  0.12,  0.19
 2,      exploit/True,30,  0.18,  0.00,          ----*      |                   ,  0.05,  0.19
 2,     exploit/False,20,  0.18,  0.05,         --   *      |                   ,  0.08,  0.22
#
 3,      exploit/True,10,  0.19,  0.00,             - *     |                   ,  0.10,  0.25
 3,            random,20,  0.19,  0.04,          -    *     |                   ,  0.10,  0.20
 3,            random,10,  0.19,  0.03,         ----- *-    |                   ,  0.03,  0.22
 3,      EXPLORE/True,10,  0.19,  0.01,           ----*-    |                   ,  0.10,  0.23
 3,     exploit/False,10,  0.19,  0.02,           ----*-    |                   ,  0.13,  0.22
 3,      EXPLORE/True,20,  0.19,  0.06,         --    *     |                   ,  0.08,  0.26
#
 4,       baseline,53662,  0.28,  0.06,                   --*    ----           ,  0.12,  0.53
