#
 0,     exploit/False,40,  0.14,  0.03,  *-                 |                   ,  0.12,  0.19
 0,      exploit/True,40,  0.15,  0.04,  *----              |                   ,  0.12,  0.32
 0,     exploit/False,30,  0.15,  0.08, -*  -----           |                   ,  0.12,  0.32
 0,     exploit/False,20,  0.15,  0.04, -* --               |                   ,  0.12,  0.24
#
 1,      exploit/True,30,  0.15,  0.03, -*---               |                   ,  0.12,  0.23
#
 2,            random,40,  0.16,  0.03, - *--               |                   ,  0.13,  0.24
 2,     EXPLORE/False,30,  0.17,  0.04,  -* --              |                   ,  0.14,  0.27
#
 3,            random,30,  0.18,  0.03,  -* -               |                   ,  0.12,  0.23
 3,     EXPLORE/False,40,  0.18,  0.04,  - *--              |                   ,  0.13,  0.29
#
 4,            random,20,  0.19,  0.03,  - *-               |                   ,  0.12,  0.29
 4,      EXPLORE/True,30,  0.19,  0.05,  - *--              |                   ,  0.12,  0.29
 4,      EXPLORE/True,40,  0.19,  0.06,    *----            |                   ,  0.12,  0.32
#
 5,            random,10,  0.20,  0.10,  - *   -            |                   ,  0.13,  0.32
 5,      exploit/True,10,  0.20,  0.08, -   *-              |                   ,  0.12,  0.28
 5,      exploit/True,20,  0.20,  0.09, -   *-              |                   ,  0.12,  0.26
 5,     EXPLORE/False,20,  0.20,  0.07,  -- * -             |                   ,  0.13,  0.30
 5,      EXPLORE/True,20,  0.20,  0.07,   - * --            |                   ,  0.12,  0.33
 5,     exploit/False,10,  0.22,  0.10,  -  * ---           |                   ,  0.12,  0.34
#
 6,      EXPLORE/True,10,  0.24,  0.08,   -  * ---          |                   ,  0.13,  0.36
 6,     EXPLORE/False,10,  0.25,  0.07,   --- * ---         |                   ,  0.14,  0.36
#
 7,         baseline,972,  0.42,  0.10,          ---  *  ---|--                 ,  0.21,  0.93
