#
 0,     exploit/False,40,  0.16,  0.00, *                   |                   ,  0.16,  0.35
 0,     EXPLORE/False,40,  0.16,  0.00, *                   |                   ,  0.16,  0.17
 0,      exploit/True,40,  0.16,  0.00, *                   |                   ,  0.16,  0.17
 0,     exploit/False,30,  0.16,  0.00, *                   |                   ,  0.16,  0.37
#
 1,     EXPLORE/False,30,  0.16,  0.00, *                   |                   ,  0.16,  0.35
#
 2,      EXPLORE/True,40,  0.16,  0.01, *                   |                   ,  0.16,  0.37
 2,      EXPLORE/True,30,  0.16,  0.01, *                   |                   ,  0.16,  0.20
 2,     EXPLORE/False,20,  0.16,  0.02, *-                  |                   ,  0.16,  0.20
 2,      exploit/True,30,  0.16,  0.01, *                   |                   ,  0.16,  0.19
 2,     exploit/False,20,  0.16,  0.02, *-----------        |                   ,  0.16,  0.38
 2,      exploit/True,20,  0.17,  0.02, *------------       |                   ,  0.16,  0.50
#
 3,      EXPLORE/True,20,  0.17,  0.02, *-                  |                   ,  0.16,  0.44
#
 4,            random,40,  0.18,  0.02,  *-                 |                   ,  0.16,  0.40
 4,     exploit/False,10,  0.19,  0.21, -*           ------ |                   ,  0.16,  0.54
 4,      exploit/True,10,  0.19,  0.03, -*------------------|                   ,  0.16,  0.52
 4,            random,30,  0.19,  0.02, - *-----------      |                   ,  0.16,  0.43
 4,            random,20,  0.20,  0.01,  -*---------        |                   ,  0.17,  0.41
 4,     EXPLORE/False,10,  0.20,  0.04, - *-----------------|                   ,  0.16,  0.55
 4,            random,10,  0.22,  0.18,  - *         ---    |                   ,  0.16,  0.56
#
 5,      EXPLORE/True,10,  0.38,  0.21, --           *----  |                   ,  0.16,  0.48
#
 6,        baseline,1023,  0.65,  0.30,    -------------    |        *    ---   ,  0.16,  0.83
