#
 0,      exploit/True,40,  0.05,  0.05, *  -----            |                   ,  0.04,  0.16
 0,      EXPLORE/True,40,  0.05,  0.05, *  ----             |                   ,  0.04,  0.14
 0,     exploit/False,40,  0.05,  0.06, *   ----            |                   ,  0.04,  0.19
 0,      exploit/True,30,  0.05,  0.06, *   --              |                   ,  0.04,  0.15
 0,     EXPLORE/False,30,  0.05,  0.02, *---                |                   ,  0.04,  0.16
 0,      EXPLORE/True,30,  0.06,  0.01, *----               |                   ,  0.04,  0.12
 0,     exploit/False,20,  0.06,  0.06, *    ----           |                   ,  0.04,  0.18
 0,            random,40,  0.06,  0.01, *                   |                   ,  0.05,  0.07
 0,     EXPLORE/False,40,  0.06,  0.05, *   ---             |                   ,  0.04,  0.15
 0,     exploit/False,30,  0.06,  0.09, *      -            |                   ,  0.04,  0.17
 0,      EXPLORE/True,20,  0.06,  0.06,  *  -----           |                   ,  0.04,  0.20
 0,            random,30,  0.06,  0.01, -*                  |                   ,  0.04,  0.14
 0,     EXPLORE/False,20,  0.06,  0.06,  *  -----           |                   ,  0.04,  0.18
 0,            random,20,  0.06,  0.01, -*---               |                   ,  0.05,  0.13
 0,      exploit/True,10,  0.07,  0.10,  *     ----         |                   ,  0.05,  0.36
 0,            random,10,  0.07,  0.05, - *  ---            |                   ,  0.04,  0.18
#
 1,      EXPLORE/True,10,  0.08,  0.07, - *   -             |                   ,  0.04,  0.14
 1,      exploit/True,20,  0.08,  0.05, - * -----           |                   ,  0.05,  0.17
#
 2,     EXPLORE/False,10,  0.12,  0.06,  -   *--            |                   ,  0.06,  0.16
 2,     exploit/False,10,  0.13,  0.10,       * --          |                   ,  0.05,  0.19
#
 3,        baseline,2736,  0.17,  0.06,  -----   * ---------|---------          ,  0.04,  0.59
