#
 0,     exploit/False,30,  0.16,  0.01,  --* -              |                   ,  0.12,  0.26
 0,     exploit/False,40,  0.17,  0.03, --- *-              |                   ,  0.12,  0.19
 0,      exploit/True,40,  0.17,  0.02,      *              |                   ,  0.12,  0.18
 0,     EXPLORE/False,40,  0.17,  0.02, ---- *              |                   ,  0.13,  0.19
#
 1,      EXPLORE/True,40,  0.17,  0.01,     -*              |                   ,  0.12,  0.19
 1,      EXPLORE/True,30,  0.17,  0.02,  --- *              |                   ,  0.13,  0.19
 1,      exploit/True,30,  0.18,  0.02, ---- *              |                   ,  0.12,  0.19
 1,      exploit/True,20,  0.18,  0.02,    --*-             |                   ,  0.16,  0.27
#
 2,            random,40,  0.18,  0.01,    --*              |                   ,  0.16,  0.22
 2,            random,30,  0.18,  0.01,     -*-             |                   ,  0.16,  0.21
 2,     exploit/False,20,  0.18,  0.02,    --* ------       |                   ,  0.15,  0.26
 2,     EXPLORE/False,30,  0.18,  0.01,    -- *             |                   ,  0.15,  0.26
 2,      EXPLORE/True,20,  0.18,  0.02,    -- *----         |                   ,  0.13,  0.25
#
 3,            random,20,  0.19,  0.01,      -*-----        |                   ,  0.13,  0.25
 3,     EXPLORE/False,20,  0.19,  0.02,       *             |                   ,  0.17,  0.21
 3,      exploit/True,10,  0.19,  0.01,     --*------       |                   ,  0.12,  0.36
#
 4,            random,10,  0.19,  0.02,      -* -----       |                   ,  0.17,  0.26
 4,     exploit/False,10,  0.19,  0.08,     -  *     -------|--                 ,  0.16,  0.49
 4,      EXPLORE/True,10,  0.19,  0.01,        *---         |                   ,  0.19,  0.30
 4,     EXPLORE/False,10,  0.20,  0.02,        *-----       |                   ,  0.18,  0.42
#
 5,        baseline,3008,  0.30,  0.22,              -   *  |              --   ,  0.26,  0.54
